	fold	iter	cpd_num
0	None	0	44
1	3.40	1	922
2	3.30	2	945
3	1.10	3	957
4	3.90	4	960
5	1.20	5	960
6	3.20	6	963
7	3.10	7	963
8	2.60	8	963
9	2.40	9	963
10	6.10	10	963
11	2.30	11	965
12	3.50	12	965
13	2.20	13	965
14	6.20	14	965
15	4.10	15	965
16	2.160	16	965
17	3.60	17	965
18	1.25	18	965
19	2.10	19	965
20	2.170	20	965
21	2.70	21	965
22	1.50	22	965
23	2.120	23	965
24	2.80	24	965
25	2.115	25	965
26	3.55	26	965
27	2.130	27	965
28	2.102	28	965
29	3.80	29	965
30	3.65	30	965
31	3.70	31	965
32	2.140	32	965
33	3.75	33	969
34	3.15	34	969
35	2.110	35	969
36	2.150	36	969
