	iteration	fold	cpd_num	rxn_num
0	0	None	44	0
1	1	3.40	922	2592
2	2	3.30	945	2664
3	3	3.20	960	2694
4	4	3.75	964	2706
5	5	1.10	967	2714
6	6	3.60	969	2720
7	7	3.90	969	2722
8	8	2.160	969	2722
9	9	1.20	969	2722
10	10	2.170	969	2722
11	11	2.70	969	2722
12	12	6.10	969	2722
13	13	2.102	969	2722
14	14	2.120	969	2722
15	15	3.55	969	2722
16	16	2.140	969	2722
17	17	3.70	969	2722
18	18	2.130	969	2722
19	19	2.30	969	2722
20	20	2.80	969	2722
21	21	2.60	969	2722
22	22	3.80	969	2722
23	23	2.150	969	2722
24	24	1.50	969	2722
25	25	2.115	969	2722
26	26	6.20	969	2722
27	27	2.10	969	2722
28	28	1.25	969	2722
29	29	3.65	969	2722
30	30	3.10	969	2722
31	31	2.20	969	2722
32	32	4.10	969	2722
33	33	3.15	969	2722
34	34	2.40	969	2722
35	35	3.50	969	2722
36	36	2.110	969	2722
