rxn	iter
('R02269', 'reverse')	1
('R01080', 'forward')	1
('R01291', 'forward')	1
('R04286', 'forward')	1
('R02200', 'reverse')	1
('R00316', 'reverse')	1
('R05339', 'forward')	1
('R01900', 'reverse')	1
('R03131', 'reverse')	1
('R07256', 'forward')	1
('R09634', 'reverse')	1
('R01969', 'forward')	1
('R02059', 'reverse')	1
('R07633', 'forward')	1
('R01576', 'reverse')	1
('R00883', 'reverse')	1
('R02730', 'forward')	1
('R03479', 'reverse')	1
('R08568', 'reverse')	1
('R07127', 'forward')	1
('R01026', 'reverse')	1
('R00126', 'forward')	1
('R04559', 'forward')	1
('R01135', 'forward')	1
('R01090', 'reverse')	1
('R00453', 'forward')	1
('R00332', 'forward')	1
('R02036', 'reverse')	1
('R01918', 'forward')	1
('R01902', 'forward')	1
('R00518', 'reverse')	1
('R00262', 'reverse')	1
('R04640', 'reverse')	1
('R00751', 'reverse')	1
('R03524', 'forward')	1
('R00974', 'forward')	1
('R10776', 'reverse')	1
('R00588', 'forward')	1
('R00497', 'reverse')	1
('R03271', 'reverse')	1
('R10062', 'forward')	1
('R01216', 'forward')	1
('R03132', 'forward')	1
('R00138', 'reverse')	1
('R03115', 'forward')	1
('R00373', 'reverse')	1
('R10277', 'reverse')	1
('R07405', 'forward')	1
('R02889', 'reverse')	1
('R08633', 'forward')	1
('R03372', 'forward')	1
('R01901', 'forward')	1
('R00573', 'reverse')	1
('R00173', 'reverse')	1
('R09667', 'reverse')	1
('R01844', 'forward')	1
('R00437', 'reverse')	1
('R00024', 'forward')	1
('R00444', 'forward')	1
('R01467', 'reverse')	1
('R01843', 'forward')	1
('R08575', 'reverse')	1
('R00089', 'reverse')	1
('R01660', 'reverse')	1
('R00576', 'forward')	1
('R10622', 'forward')	1
('R00650', 'forward')	1
('R03634', 'forward')	1
('R00347', 'reverse')	1
('R00526', 'forward')	1
('R05048', 'reverse')	1
('R03118', 'forward')	1
('R10153', 'forward')	1
('R00369', 'forward')	1
('R00996', 'reverse')	1
('R02751', 'reverse')	1
('R01877', 'reverse')	1
('R00375', 'reverse')	1
('R08947', 'forward')	1
('R00652', 'forward')	1
('R03013', 'reverse')	1
('R06975', 'reverse')	1
('R00439', 'forward')	1
('R00260', 'forward')	1
('R00441', 'forward')	1
('R00184', 'reverse')	1
('R01113', 'forward')	1
('R01418', 'forward')	1
('R00208', 'forward')	1
('R05789', 'forward')	1
('R01663', 'forward')	1
('R00670', 'reverse')	1
('R00964', 'forward')	1
('R00293', 'forward')	1
('R07285', 'forward')	1
('R01600', 'forward')	1
('R10616', 'forward')	1
('R07277', 'reverse')	1
('R00522', 'reverse')	1
('R02602', 'reverse')	1
('R02802', 'forward')	1
('R00769', 'reverse')	1
('R01132', 'reverse')	1
('R00907', 'reverse')	1
('R05797', 'reverse')	1
('R00333', 'forward')	1
('R02484', 'reverse')	1
('R00529', 'forward')	1
('R03970', 'reverse')	1
('R00511', 'forward')	1
('R00416', 'reverse')	1
('R01905', 'reverse')	1
('R03433', 'forward')	1
('R01230', 'reverse')	1
('R02109', 'forward')	1
('R01083', 'reverse')	1
('R00274', 'forward')	1
('R04209', 'forward')	1
('R00075', 'forward')	1
('R02060', 'reverse')	1
('R00329', 'reverse')	1
('R01049', 'forward')	1
('R01330', 'forward')	1
('R02853', 'reverse')	1
('R02096', 'forward')	1
('R02184', 'reverse')	1
('R00809', 'forward')	1
('R01627', 'forward')	1
('R01087', 'reverse')	1
('R01416', 'forward')	1
('R04441', 'forward')	1
('R00320', 'reverse')	1
('R01649', 'forward')	1
('R02091', 'reverse')	1
('R03237', 'forward')	1
('R10818', 'reverse')	1
('R04320', 'forward')	1
('R02727', 'reverse')	1
('R01139', 'forward')	1
('R02139', 'reverse')	1
('R07125', 'reverse')	1
('R01131', 'reverse')	1
('R03238', 'reverse')	1
('R00585', 'forward')	1
('R01737', 'forward')	1
('R01402', 'reverse')	1
('R00226', 'reverse')	1
('R02422', 'forward')	1
('R04144', 'reverse')	1
('R05647', 'forward')	1
('R00338', 'reverse')	1
('R00463', 'reverse')	1
('R00328', 'forward')	1
('R07343', 'forward')	1
('R00572', 'forward')	1
('R02120', 'reverse')	1
('R03427', 'reverse')	1
('R00877', 'reverse')	1
('R01027', 'forward')	1
('R09769', 'reverse')	1
('R10524', 'reverse')	1
('R10531', 'forward')	1
