	iteration	fold	cpd_num	rxn_num
0	0	None	44	0
1	1	3.40	2934	8352
2	2	3.20	3011	8602
3	3	3.30	3028	8682
4	4	3.60	3034	8714
5	5	1.10	3039	8740
6	6	3.75	3048	8762
7	7	3.90	3049	8766
8	8	2.40	3049	8770
9	9	6.20	3049	8770
10	10	2.110	3049	8770
11	11	2.10	3049	8770
12	12	3.80	3049	8770
13	13	3.70	3049	8770
14	14	2.130	3049	8770
15	15	3.65	3049	8770
16	16	2.160	3049	8770
17	17	2.30	3049	8770
18	18	3.10	3049	8770
19	19	2.60	3049	8770
20	20	2.115	3049	8770
21	21	2.120	3049	8770
22	22	2.20	3049	8770
23	23	3.55	3049	8770
24	24	2.150	3049	8770
25	25	1.25	3049	8770
26	26	1.50	3049	8770
27	27	3.50	3049	8770
28	28	4.10	3049	8770
29	29	2.80	3049	8770
30	30	2.140	3049	8770
31	31	2.170	3049	8770
32	32	3.15	3049	8770
33	33	2.102	3049	8770
34	34	6.10	3049	8770
35	35	2.70	3049	8770
36	36	1.20	3049	8770
