cid	iter	formula	name	num_rgroup	electrons
C00001	0	H2O	H2O; Water	0	10.0
C00065	0	C3H7NO3	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine	0	56.0
C00158	0	C6H8O7	Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid	0	100.0
C00073	0	C5H11NO2S	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	0	80.0
C00064	0	C5H10N2O3	L-Glutamine; L-2-Aminoglutaramic acid	0	78.0
C00011	0	CO2	CO2; Carbon dioxide	0	22.0
C06255	0	C5H8O3	2-Oxopentanoic acid; 2-Oxovalerate; 2-Oxopentanoate; alpha-Ketovaleric acid	0	62.0
C00902	0	C6H10O3	2-Oxohexanoic acid; 2-Oxohexanoate; alpha-Ketocaproic acid	0	70.0
C00152	0	C4H8N2O3	L-Asparagine; 2-Aminosuccinamic acid	0	70.0
C00407	0	C6H13NO2	L-Isoleucine; 2-Amino-3-methylvaleric acid	0	72.0
C00148	0	C5H9NO2	L-Proline; 2-Pyrrolidinecarboxylic acid	0	62.0
C00048	0	C2H2O3	Glyoxylate; Glyoxalate; Glyoxylic acid	0	38.0
C00026	0	C5H6O5	2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid	0	76.0
C00097	0	C3H7NO2S	L-Cysteine; L-2-Amino-3-mercaptopropionic acid	0	64.0
C00249	0	C16H32O2	Hexadecanoic acid; Hexadecanoate; Hexadecylic acid; Palmitic acid; Palmitate; Cetylic acid	0	144.0
C00183	0	C5H11NO2	L-Valine; 2-Amino-3-methylbutyric acid	0	64.0
C00036	0	C4H4O5	Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate	0	68.0
C00186	0	C3H6O3	(S)-Lactate; L-Lactate; L-Lactic acid	0	48.0
C00058	0	CH2O2	Formate; Methanoic acid; Formic acid	0	24.0
C00047	0	C6H14N2O2	L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid	0	80.0
C00283	0	H2S	Hydrogen sulfide; Hydrogen-sulfide; H2S; Sulfide	0	18.0
C00077	0	C5H12N2O2	L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate	0	72.0
C00123	0	C6H13NO2	L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	0	72.0
C00188	0	C4H9NO3	L-Threonine; 2-Amino-3-hydroxybutyric acid	0	64.0
C00149	0	C4H6O5	(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid	0	70.0
C00041	0	C3H7NO2	L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine	0	48.0
C00080	0	H	H+; Hydron	0	0.0
C00009	0	H3PO4	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	0	50.0
C00209	0	C2H2O4	Oxalate; Oxalic acid; Ethanedioic acid	0	46.0
C00037	0	C2H5NO2	Glycine; Aminoacetic acid; Gly	0	40.0
C00417	0	C6H6O6	cis-Aconitate; cis-Aconitic acid	0	90.0
C00025	0	C5H9NO4	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	0	78.0
C00383	0	C3H4O4	Malonate; Malonic acid; Propanedioic acid	0	54.0
C00049	0	C4H7NO4	L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp	0	70.0
C00014	0	NH3	Ammonia; NH3	0	10.0
C00311	0	C6H8O7	Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid	0	100.0
C00033	0	C2H4O2	Acetate; Acetic acid; Ethanoic acid	0	32.0
C00022	0	C3H4O3	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	0	46.0
C00282	0	H2	Hydrogen; H2	0	2.0
C00062	0	C6H14N4O2	L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg	0	94.0
C00232	0	C4H6O3	Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate	0	54.0
C00109	0	C4H6O3	2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate	0	54.0
C02341	0	C6H6O6	trans-Aconitate; trans-Aconitic acid	0	90.0
C00042	0	C4H6O4	Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid	0	62.0
C03640	1	C23H50N2O5P	Sphingosyl-phosphocholine	0	256.0
