rxn	iter
('R02269', 'reverse')	1
('R03157', 'forward')	1
('R00014', 'reverse')	1
('R01031', 'forward')	1
('R06614', 'reverse')	1
('R02868', 'forward')	1
('R10614', 'forward')	1
('R04320', 'forward')	1
('R08429', 'forward')	1
('R06587', 'reverse')	1
('R01649', 'forward')	1
('R04441', 'forward')	1
('R01416', 'forward')	1
('R06583', 'forward')	1
('R04515', 'forward')	1
('R08713', 'forward')	1
('R00809', 'forward')	1
('R02096', 'forward')	1
('R05506', 'reverse')	1
('R09050', 'reverse')	1
('R01200', 'reverse')	1
('R10531', 'forward')	1
('R01376', 'forward')	1
('R10524', 'reverse')	1
('R08332', 'forward')	1
('R05117', 'forward')	1
('R09469', 'reverse')	1
('R02924', 'reverse')	1
('R00877', 'reverse')	1
('R10533', 'reverse')	1
('R03355', 'forward')	1
('R10404', 'forward')	1
('R03162', 'forward')	1
('R00439', 'forward')	1
('R09634', 'reverse')	1
('R04283', 'forward')	1
('R08463', 'forward')	1
('R00316', 'reverse')	1
('R03937', 'forward')	1
('R02200', 'reverse')	1
('R02547', 'forward')	1
('R01218', 'forward')	1
('R02446', 'reverse')	1
('R08501', 'forward')	1
('R05305', 'reverse')	1
('R09971', 'forward')	1
('R07127', 'forward')	1
('R01026', 'reverse')	1
('R00588', 'forward')	1
('R02541', 'forward')	1
('R04640', 'reverse')	1
('R05092', 'forward')	1
('R10501', 'reverse')	1
('R00518', 'reverse')	1
('R10849', 'reverse')	1
('R09524', 'reverse')	1
('R08210', 'forward')	1
('R02676', 'forward')	1
('R09849', 'forward')	1
('R02036', 'reverse')	1
('R06848', 'forward')	1
('R00126', 'forward')	1
('R03013', 'reverse')	1
('R03106', 'reverse')	1
('R09980', 'forward')	1
('R00944', 'forward')	1
('R10176', 'forward')	1
('R01088', 'forward')	1
('R09976', 'reverse')	1
('R05311', 'forward')	1
('R02441', 'reverse')	1
('R05551', 'forward')	1
('R00393', 'reverse')	1
('R08676', 'forward')	1
('R00951', 'forward')	1
('R09538', 'reverse')	1
('R10841', 'reverse')	1
('R05553', 'forward')	1
('R06925', 'reverse')	1
('R00430', 'reverse')	1
('R06781', 'reverse')	1
('R07282', 'forward')	1
('R03576', 'reverse')	1
('R00668', 'reverse')	1
('R02865', 'forward')	1
('R00806', 'forward')	1
('R08164', 'reverse')	1
('R09983', 'forward')	1
('R04162', 'reverse')	1
('R04042', 'reverse')	1
('R01138', 'forward')	1
('R00892', 'forward')	1
('R01360', 'reverse')	1
('R00574', 'forward')	1
('R09648', 'forward')	1
('R01739', 'reverse')	1
('R00897', 'forward')	1
('R09876', 'forward')	1
('R06626', 'forward')	1
('R02954', 'forward')	1
('R00328', 'forward')	1
('R00463', 'reverse')	1
('R00338', 'reverse')	1
('R01908', 'forward')	1
('R02250', 'reverse')	1
('R02853', 'reverse')	1
('R00329', 'reverse')	1
('R10182', 'forward')	1
('R00964', 'forward')	1
('R05773', 'reverse')	1
('R04126', 'reverse')	1
('R05842', 'forward')	1
('R01160', 'reverse')	1
('R00184', 'reverse')	1
('R04289', 'reverse')	1
('R02376', 'forward')	1
('R02322', 'reverse')	1
('R02052', 'forward')	1
('R07988', 'forward')	1
('R04581', 'forward')	1
('R08042', 'reverse')	1
('R00274', 'forward')	1
('R02109', 'forward')	1
('R03433', 'forward')	1
('R03625', 'reverse')	1
('R01182', 'reverse')	1
('R02536', 'forward')	1
('R00333', 'forward')	1
('R04746', 'reverse')	1
('R02872', 'forward')	1
('R06593', 'forward')	1
('R01793', 'forward')	1
('R10062', 'forward')	1
('R08098', 'forward')	1
('R00470', 'reverse')	1
('R04921', 'reverse')	1
('R05803', 'forward')	1
('R02788', 'forward')	1
('R10726', 'reverse')	1
('R04214', 'forward')	1
('R00839', 'reverse')	1
('R00457', 'reverse')	1
('R00900', 'forward')	1
('R07677', 'reverse')	1
('R04204', 'forward')	1
('R00480', 'forward')	1
('R10439', 'forward')	1
('R00306', 'forward')	1
('R09981', 'reverse')	1
('R10660', 'forward')	1
('R08441', 'reverse')	1
('R07831', 'reverse')	1
('R07260', 'forward')	1
('R03323', 'forward')	1
('R01678', 'reverse')	1
('R00028', 'forward')	1
('R10274', 'forward')	1
('R07274', 'forward')	1
('R01351', 'forward')	1
('R10098', 'forward')	1
('R08214', 'forward')	1
('R03182', 'reverse')	1
('R01271', 'reverse')	1
('R01993', 'reverse')	1
('R02039', 'forward')	1
('R04098', 'reverse')	1
('R09093', 'forward')	1
('R03455', 'forward')	1
('R06753', 'forward')	1
('R09697', 'forward')	1
('R07476', 'reverse')	1
('R02307', 'forward')	1
('R10052', 'reverse')	1
('R07667', 'reverse')	1
('R00670', 'forward')	1
('R01615', 'forward')	1
('R00018', 'reverse')	1
('R01497', 'reverse')	1
('R02703', 'reverse')	1
('R00390', 'reverse')	1
('R09247', 'reverse')	1
('R09794', 'reverse')	1
('R00395', 'reverse')	1
('R06520', 'forward')	1
('R00631', 'forward')	1
('R00137', 'reverse')	1
('R07443', 'reverse')	1
('R04191', 'forward')	1
('R09536', 'forward')	1
('R09626', 'forward')	1
('R01934', 'forward')	1
('R05366', 'reverse')	1
('R01137', 'reverse')	1
('R02522', 'reverse')	1
('R01548', 'forward')	1
('R00420', 'forward')	1
('R08588', 'reverse')	1
('R02526', 'reverse')	1
('R05030', 'forward')	1
('R06579', 'forward')	1
('R08056', 'forward')	1
('R07388', 'reverse')	1
('R01740', 'forward')	1
('R10169', 'forward')	1
('R02464', 'forward')	1
('R06223', 'forward')	1
('R00084', 'forward')	1
('R08850', 'reverse')	1
('R05078', 'reverse')	1
('R00173', 'reverse')	1
('R00573', 'reverse')	1
('R08799', 'reverse')	1
('R05209', 'reverse')	1
('R10202', 'reverse')	1
('R00138', 'reverse')	1
('R02287', 'reverse')	1
('R06305', 'reverse')	1
('R00996', 'reverse')	1
('R00369', 'forward')	1
('R03118', 'forward')	1
('R00526', 'forward')	1
('R02758', 'forward')	1
('R03458', 'reverse')	1
('R00650', 'forward')	1
('R10622', 'forward')	1
('R05114', 'forward')	1
('R01660', 'reverse')	1
('R00652', 'forward')	1
('R02324', 'forward')	1
('R01780', 'reverse')	1
('R04998', 'reverse')	1
('R05761', 'forward')	1
('R00268', 'reverse')	1
('R00340', 'reverse')	1
('R07826', 'reverse')	1
('R00744', 'reverse')	1
('R00183', 'forward')	1
('R00568', 'forward')	1
('R08620', 'reverse')	1
('R00542', 'reverse')	1
('R07392', 'reverse')	1
('R02875', 'forward')	1
('R01157', 'forward')	1
('R02038', 'reverse')	1
('R01550', 'forward')	1
('R00442', 'forward')	1
('R08695', 'reverse')	1
('R08632', 'reverse')	1
('R02006', 'reverse')	1
('R10717', 'forward')	1
('R01082', 'reverse')	1
('R03471', 'forward')	1
('R07696', 'forward')	1
('R03255', 'reverse')	1
('R01899', 'forward')	1
('R02596', 'forward')	1
('R00488', 'reverse')	1
('R10234', 'reverse')	1
('R01290', 'forward')	1
('R01073', 'forward')	1
('R00589', 'forward')	1
('R03666', 'forward')	1
('R05141', 'reverse')	1
('R08197', 'forward')	1
('R09138', 'reverse')	1
('R02466', 'forward')	1
('R08515', 'reverse')	1
('R08061', 'reverse')	1
('R05176', 'reverse')	1
('R08634', 'forward')	1
('R05637', 'reverse')	1
('R08618', 'forward')	1
('R01983', 'forward')	1
('R04251', 'reverse')	1
('R05554', 'reverse')	1
('R01308', 'forward')	1
('R03216', 'reverse')	1
('R05549', 'reverse')	1
('R00205', 'reverse')	1
('R00943', 'reverse')	1
('R03792', 'reverse')	1
('R07584', 'forward')	1
('R10691', 'forward')	1
('R03422', 'forward')	1
('R06422', 'forward')	1
('R04949', 'reverse')	1
('R01367', 'forward')	1
('R03026', 'reverse')	1
('R06428', 'forward')	1
('R01528', 'reverse')	1
('R01369', 'forward')	1
('R00397', 'reverse')	1
('R04282', 'forward')	1
('R02085', 'reverse')	1
('R08215', 'reverse')	1
('R05142', 'forward')	1
('R09238', 'reverse')	1
('R09140', 'forward')	1
('R08461', 'forward')	1
('R01525', 'reverse')	1
('R00930', 'forward')	1
('R01164', 'forward')	1
('R02196', 'reverse')	1
('R08436', 'reverse')	1
('R07732', 'reverse')	1
('R07986', 'forward')	1
('R01800', 'forward')	1
('R00539', 'forward')	1
('R10111', 'reverse')	1
('R05674', 'reverse')	1
('R02271', 'reverse')	1
('R01881', 'forward')	1
('R01373', 'reverse')	1
('R05287', 'forward')	1
('R03635', 'forward')	1
('R06531', 'forward')	1
('R01152', 'reverse')	1
('R03409', 'forward')	1
('R00917', 'reverse')	1
('R09046', 'reverse')	1
('R03236', 'forward')	1
('R01493', 'reverse')	1
('R03919', 'forward')	1
('R01239', 'forward')	1
('R02089', 'reverse')	1
('R02371', 'forward')	1
('R10600', 'reverse')	1
('R01322', 'forward')	1
('R00216', 'reverse')	1
('R00896', 'reverse')	1
('R03018', 'reverse')	1
('R10348', 'forward')	1
('R09376', 'reverse')	1
('R03001', 'forward')	1
('R07280', 'reverse')	1
('R01423', 'reverse')	1
('R02942', 'forward')	1
('R09973', 'forward')	1
('R09717', 'reverse')	1
('R05106', 'forward')	1
('R10167', 'forward')	1
('R06894', 'forward')	1
('R01153', 'reverse')	1
('R10308', 'forward')	1
('R02473', 'forward')	1
('R03066', 'forward')	1
('R04862', 'reverse')	1
('R04093', 'reverse')	1
