,cid,iteration
0,C00001,0
1,C00011,0
2,C00080,0
3,C00282,0
4,C00014,0
5,C00009,0
6,C00283,0
7,C00058,0
8,C00033,0
9,C00209,0
10,C00383,0
11,C00042,0
12,C00158,0
13,C00311,0
14,C00417,0
15,C02341,0
16,C00048,0
17,C00022,0
18,C00109,0
19,C06255,0
20,C00902,0
21,C00036,0
22,C00026,0
23,C00232,0
24,C00186,0
25,C00149,0
26,C00249,0
27,C00037,0
28,C00041,0
29,C00183,0
30,C00123,0
31,C00407,0
32,C00049,0
33,C00152,0
34,C00025,0
35,C00064,0
36,C00065,0
37,C00188,0
38,C00073,0
39,C00097,0
40,C00047,0
41,C00062,0
42,C00148,0
43,C00077,0
44,C01353,1
45,C00881,1
46,C00118,1
47,C00259,1
48,C15607,1
49,C03961,1
50,C03785,1
51,C01219,1
52,C00380,1
53,C05400,1
54,C11515,1
55,C00476,1
56,C00096,1
57,C15548,1
58,C00204,1
59,C01518,1
60,C03848,1
61,C15532,1
62,C16698,1
63,C00676,1
64,C03387,1
65,C11472,1
66,C15563,1
67,C19880,1
68,C05399,1
69,C05524,1
70,C02726,1
71,C00942,1
72,C04479,1
73,C02355,1
74,C00965,1
75,C18060,1
76,C04534,1
77,C00119,1
78,C02946,1
79,C00301,1
80,C00492,1
81,C05822,1
82,C19879,1
83,C06222,1
84,C15853,1
85,C00652,1
86,C00242,1
87,C05796,1
88,C06194,1
89,C01102,1
90,C00354,1
91,C03233,1
92,C01187,1
93,C04225,1
94,C03167,1
95,C01548,1
96,C00369,1
97,C20565,1
98,C00611,1
99,C00879,1
100,C06441,1
101,C01127,1
102,C00461,1
103,C04442,1
104,C05946,1
105,C04037,1
106,C00054,1
107,C05379,1
108,C00617,1
109,C00898,1
110,C15650,1
111,C01097,1
112,C06210,1
113,C03217,1
114,C07282,1
115,C02753,1
116,C00705,1
117,C19781,1
118,C01725,1
119,C00352,1
120,C06892,1
121,C00199,1
122,C03589,1
123,C11930,1
124,C00177,1
125,C00288,1
126,C04434,1
127,C03486,1
128,C00262,1
129,C00565,1
130,C00620,1
131,C00103,1
132,C00404,1
133,C03453,1
134,C00558,1
135,C00804,1
136,C00940,1
137,C01159,1
138,C00243,1
