,rn,iteration
0,"('R07456', 'forward')",1
1,"('R00217', 'reverse')",1
2,"('R00218', 'reverse')",1
3,"('R02886', 'reverse')",1
4,"('R01444', 'reverse')",1
5,"('R00669', 'reverse')",1
6,"('R00659', 'forward')",1
7,"('R01052', 'reverse')",1
8,"('R01898', 'reverse')",1
9,"('R00224', 'reverse')",1
10,"('R00909', 'forward')",1
11,"('R05046', 'reverse')",1
12,"('R01660', 'reverse')",1
13,"('R01761', 'reverse')",1
14,"('R00179', 'reverse')",1
15,"('R01821', 'reverse')",1
16,"('R00150', 'reverse')",1
17,"('R05339', 'forward')",1
18,"('R00180', 'forward')",1
19,"('R04277', 'reverse')",1
20,"('R08982', 'forward')",1
21,"('R00437', 'forward')",1
22,"('R01518', 'reverse')",1
23,"('R01283', 'reverse')",1
24,"('R01138', 'forward')",1
25,"('R05767', 'reverse')",1
26,"('R00966', 'forward')",1
27,"('R00802', 'reverse')",1
28,"('R01621', 'reverse')",1
29,"('R03034', 'reverse')",1
30,"('R02111', 'reverse')",1
31,"('R08570', 'reverse')",1
32,"('R02429', 'forward')",1
33,"('R05142', 'reverse')",1
34,"('R00891', 'forward')",1
35,"('R05646', 'forward')",1
36,"('R07674', 'forward')",1
37,"('R00658', 'forward')",1
38,"('R05166', 'reverse')",1
39,"('R01639', 'forward')",1
40,"('R04194', 'reverse')",1
41,"('R04286', 'reverse')",1
42,"('R04420', 'forward')",1
43,"('R00442', 'forward')",1
44,"('R02984', 'forward')",1
45,"('R00005', 'forward')",1
46,"('R00572', 'forward')",1
47,"('R00650', 'reverse')",1
48,"('R01229', 'forward')",1
49,"('R01512', 'forward')",1
50,"('R10622', 'reverse')",1
51,"('R08359', 'reverse')",1
52,"('R00376', 'reverse')",1
53,"('R03928', 'forward')",1
54,"('R01647', 'forward')",1
55,"('R09780', 'forward')",1
56,"('R01086', 'reverse')",1
57,"('R08615', 'reverse')",1
58,"('R10283', 'forward')",1
59,"('R00522', 'forward')",1
60,"('R02328', 'reverse')",1
61,"('R00028', 'reverse')",1
62,"('R00315', 'forward')",1
63,"('R01384', 'forward')",1
64,"('R07392', 'forward')",1
65,"('R06871', 'forward')",1
66,"('R09946', 'reverse')",1
67,"('R00461', 'reverse')",1
68,"('R09772', 'forward')",1
69,"('R02187', 'forward')",1
70,"('R02740', 'reverse')",1
71,"('R02866', 'reverse')",1
72,"('R00272', 'reverse')",1
73,"('R01103', 'forward')",1
74,"('R00458', 'reverse')",1
75,"('R02732', 'reverse')",1
76,"('R08200', 'forward')",1
77,"('R01576', 'forward')",1
78,"('R04781', 'reverse')",1
79,"('R01548', 'reverse')",1
80,"('R00724', 'reverse')",1
81,"('R01968', 'reverse')",1
82,"('R05608', 'forward')",1
83,"('R09081', 'reverse')",1
84,"('R01737', 'forward')",1
85,"('R03921', 'forward')",1
86,"('R02867', 'forward')",1
87,"('R08946', 'reverse')",1
88,"('R01881', 'reverse')",1
89,"('R01890', 'reverse')",1
90,"('R03238', 'reverse')",1
91,"('R01083', 'reverse')",1
92,"('R00651', 'forward')",1
93,"('R03459', 'forward')",1
94,"('R01484', 'forward')",1
95,"('R01092', 'reverse')",1
96,"('R01066', 'reverse')",1
97,"('R02926', 'forward')",1
98,"('R01056', 'reverse')",1
99,"('R02752', 'forward')",1
100,"('R01152', 'reverse')",1
101,"('R01645', 'forward')",1
102,"('R03350', 'reverse')",1
103,"('R10049', 'reverse')",1
104,"('R10345', 'reverse')",1
105,"('R01437', 'forward')",1
106,"('R09667', 'forward')",1
107,"('R01876', 'forward')",1
108,"('R00462', 'reverse')",1
109,"('R08548', 'reverse')",1
110,"('R00504', 'forward')",1
111,"('R01325', 'reverse')",1
112,"('R00772', 'reverse')",1
113,"('R01751', 'forward')",1
114,"('R02108', 'forward')",1
115,"('R03003', 'forward')",1
116,"('R02868', 'reverse')",1
117,"('R01966', 'reverse')",1
118,"('R10829', 'reverse')",1
119,"('R02334', 'reverse')",1
120,"('R00656', 'reverse')",1
121,"('R00008', 'reverse')",1
122,"('R10088', 'reverse')",1
123,"('R02568', 'reverse')",1
124,"('R01782', 'forward')",1
125,"('R03052', 'reverse')",1
126,"('R01634', 'forward')",1
127,"('R00837', 'reverse')",1
128,"('R09796', 'forward')",1
129,"('R00767', 'reverse')",1
130,"('R03118', 'forward')",1
131,"('R10348', 'reverse')",1
132,"('R00479', 'reverse')",1
133,"('R08503', 'reverse')",1
134,"('R01290', 'reverse')",1
135,"('R05645', 'reverse')",1
136,"('R00582', 'reverse')",1
137,"('R01641', 'reverse')",1
138,"('R08195', 'forward')",1
139,"('R01858', 'forward')",1
140,"('R01900', 'reverse')",1
141,"('R01016', 'forward')",1
142,"('R04482', 'forward')",1
143,"('R01818', 'forward')",1
144,"('R04620', 'reverse')",1
145,"('R00911', 'forward')",1
146,"('R00006', 'forward')",1
147,"('R03929', 'reverse')",1
148,"('R00874', 'forward')",1
149,"('R00963', 'forward')",1
150,"('R01880', 'forward')",1
151,"('R01874', 'reverse')",1
152,"('R08193', 'forward')",1
153,"('R09697', 'forward')",1
154,"('R00299', 'reverse')",1
155,"('R00488', 'forward')",1
156,"('R01059', 'forward')",1
157,"('R06513', 'forward')",1
158,"('R05141', 'reverse')",1
159,"('R03083', 'forward')",1
160,"('R01870', 'reverse')",1
161,"('R02749', 'reverse')",1
162,"('R02927', 'reverse')",1
163,"('R01466', 'forward')",1
164,"('R00324', 'forward')",1
165,"('R01393', 'reverse')",1
166,"('R00375', 'reverse')",1
167,"('R07256', 'reverse')",1
168,"('R02038', 'reverse')",1
169,"('R00955', 'forward')",1
170,"('R02782', 'reverse')",1
171,"('R01883', 'forward')",1
172,"('R01819', 'forward')",1
173,"('R05378', 'forward')",1
174,"('R02705', 'reverse')",1
175,"('R08515', 'forward')",1
176,"('R03116', 'forward')",1
177,"('R01267', 'forward')",1
178,"('R01530', 'reverse')",1
179,"('R00750', 'forward')",1
180,"('R03920', 'forward')",1
181,"('R06437', 'forward')",1
182,"('R00665', 'reverse')",1
183,"('R01445', 'reverse')",1
184,"('R00443', 'reverse')",1
185,"('R01468', 'forward')",1
186,"('R01902', 'reverse')",1
187,"('R00524', 'reverse')",1
188,"('R00123', 'reverse')",1
189,"('R00428', 'forward')",1
190,"('R04425', 'forward')",1
191,"('R06514', 'reverse')",1
192,"('R01207', 'forward')",1
193,"('R01051', 'forward')",1
194,"('R08616', 'forward')",1
195,"('R08617', 'reverse')",1
196,"('R00183', 'forward')",1
197,"('R10832', 'reverse')",1
198,"('R01785', 'reverse')",1
199,"('R00018', 'forward')",1
200,"('R04177', 'forward')",1
201,"('R02428', 'forward')",1
202,"('R01967', 'reverse')",1
203,"('R01447', 'forward')",1
