,cid,iteration
0,C00001,0
1,C00011,0
2,C00080,0
3,C00282,0
4,C00014,0
5,C00009,0
6,C00283,0
7,C00058,0
8,C00033,0
9,C00209,0
10,C00383,0
11,C00042,0
12,C00158,0
13,C00311,0
14,C00417,0
15,C02341,0
16,C00048,0
17,C00022,0
18,C00109,0
19,C06255,0
20,C00902,0
21,C00036,0
22,C00026,0
23,C00232,0
24,C00186,0
25,C00149,0
26,C00249,0
27,C00037,0
28,C00041,0
29,C00183,0
30,C00123,0
31,C00407,0
32,C00049,0
33,C00152,0
34,C00025,0
35,C00064,0
36,C00065,0
37,C00188,0
38,C00073,0
39,C00097,0
40,C00047,0
41,C00062,0
42,C00148,0
43,C00077,0
44,C00668,1
45,C11472,1
46,C00257,1
47,C19792,1
48,C01005,1
49,C01613,1
50,C06371,1
51,C02964,1
52,C00203,1
53,C20566,1
54,C00795,1
55,C06148,1
56,C00112,1
57,C03981,1
58,C04582,1
59,C02614,1
60,C11549,1
61,C01996,1
62,C00029,1
63,C02727,1
64,C03906,1
65,C00433,1
66,C06366,1
67,C00490,1
68,C20781,1
69,C03618,1
70,C05574,1
71,C00111,1
72,C00270,1
73,C02616,1
74,C04434,1
75,C01172,1
76,C02714,1
77,C02474,1
78,C02273,1
79,C00979,1
80,C00438,1
81,C02266,1
82,C00542,1
83,C02355,1
84,C06217,1
85,C15606,1
86,C03110,1
87,C05399,1
88,C01168,1
89,C15853,1
90,C00159,1
91,C14463,1
92,C00817,1
93,C02670,1
94,C00363,1
95,C17207,1
96,C00470,1
97,C01044,1
98,C01563,1
99,C10906,1
100,C04015,1
101,C00454,1
102,C00603,1
103,C04442,1
104,C00526,1
105,C20565,1
106,C00984,1
107,C00099,1
108,C01222,1
109,C00075,1
110,C02642,1
111,C19879,1
112,C01762,1
113,C03248,1
114,C00361,1
115,C05682,1
116,C00208,1
117,C06033,1
118,C00122,1
119,C01187,1
120,C00242,1
121,C00501,1
122,C11926,1
123,C05404,1
124,C00750,1
125,C00239,1
126,C00046,1
127,C05379,1
128,C12317,1
129,C00337,1
130,C00458,1
131,C03684,1
132,C00095,1
133,C00106,1
134,C00385,1
135,C00327,1
136,C03287,1
137,C18174,1
138,C01548,1
