,rn,iteration
0,"('R04435', 'forward')",1
1,"('R09081', 'reverse')",1
2,"('R10061', 'forward')",1
3,"('R08616', 'forward')",1
4,"('R02370', 'reverse')",1
5,"('R01664', 'forward')",1
6,"('R01085', 'forward')",1
7,"('R01432', 'forward')",1
8,"('R01267', 'forward')",1
9,"('R02636', 'forward')",1
10,"('R00766', 'reverse')",1
11,"('R01026', 'forward')",1
12,"('R09107', 'forward')",1
13,"('R10079', 'reverse')",1
14,"('R02604', 'forward')",1
15,"('R07413', 'forward')",1
16,"('R03122', 'reverse')",1
17,"('R04531', 'reverse')",1
18,"('R03236', 'forward')",1
19,"('R05764', 'reverse')",1
20,"('R10062', 'forward')",1
21,"('R09650', 'forward')",1
22,"('R00308', 'forward')",1
23,"('R00966', 'forward')",1
24,"('R01127', 'forward')",1
25,"('R01823', 'reverse')",1
26,"('R02887', 'forward')",1
27,"('R01050', 'reverse')",1
28,"('R01441', 'forward')",1
29,"('R08633', 'reverse')",1
30,"('R04779', 'forward')",1
31,"('R00574', 'forward')",1
32,"('R02750', 'forward')",1
33,"('R01788', 'reverse')",1
34,"('R00724', 'reverse')",1
35,"('R01330', 'reverse')",1
36,"('R01021', 'forward')",1
37,"('R08200', 'reverse')",1
38,"('R00416', 'forward')",1
39,"('R00959', 'forward')",1
40,"('R00430', 'reverse')",1
41,"('R00461', 'forward')",1
42,"('R07127', 'reverse')",1
43,"('R02439', 'forward')",1
44,"('R01201', 'forward')",1
45,"('R01064', 'forward')",1
46,"('R09796', 'forward')",1
47,"('R00526', 'forward')",1
48,"('R00827', 'forward')",1
49,"('R08614', 'reverse')",1
50,"('R05805', 'forward')",1
51,"('R01476', 'reverse')",1
52,"('R06868', 'reverse')",1
53,"('R00782', 'forward')",1
54,"('R07678', 'forward')",1
55,"('R00425', 'forward')",1
56,"('R01639', 'reverse')",1
57,"('R01824', 'reverse')",1
58,"('R01883', 'reverse')",1
59,"('R09945', 'reverse')",1
60,"('R03116', 'reverse')",1
61,"('R01964', 'reverse')",1
62,"('R00502', 'forward')",1
63,"('R01287', 'reverse')",1
64,"('R03077', 'reverse')",1
65,"('R01200', 'forward')",1
66,"('R05549', 'forward')",1
67,"('R06870', 'forward')",1
68,"('R01433', 'reverse')",1
69,"('R07419', 'forward')",1
70,"('R02984', 'forward')",1
71,"('R00193', 'reverse')",1
72,"('R00810', 'reverse')",1
73,"('R00660', 'forward')",1
74,"('R05797', 'forward')",1
75,"('R02108', 'forward')",1
76,"('R00179', 'reverse')",1
77,"('R00362', 'reverse')",1
78,"('R00346', 'forward')",1
79,"('R02601', 'reverse')",1
80,"('R03084', 'reverse')",1
