ec	rxn
3.6.1.10	R00001
1.18.6.1	R00002
3.6.1.1	R00004
3.5.1.54	R00005
6.3.4.6	R00005
2.2.1.6	R00006
4.1.3.17	R00008
1.11.1.6	R00009
1.11.1.21	R00009
3.2.1.28	R00010
1.11.1.13	R00011
2.7.7.45	R00012
4.1.1.47	R00013
1.2.4.1	R00014
2.2.1.6	R00014
4.1.1.1	R00014
2.4.1.99	R00015
1.11.1.5	R00017
2.5.1.44	R00018
1.12.7.2	R00019
1.4.7.1	R00021
3.2.1.52	R00022
1.7.1.5	R00023
4.1.1.39	R00024
1.13.11.32	R00025
1.13.12.16	R00025
3.2.1.21	R00026
4.1.2.38	R00027
3.2.1.3	R00028
3.2.1.20	R00028
1.8.2.2	R00029
1.10.3.1	R00031
1.14.18.1	R00031
1.13.11.63	R00032
1.14.99.36	R00032
1.1.3.23	R00033
4.1.99.3	R00034
4.2.1.24	R00036
4.1.2.35	R00038
2.4.1.166	R00039
1.1.3.20	R00041
1.2.3.13	R00042
1.13.11.43	R00043
1.21.3.2	R00044
1.10.3.1	R00045
1.14.18.1	R00045
3.1.1.22	R00048
2.3.1.90	R00049
1.11.1.10	R00052
3.1.1.20	R00053
3.1.1.40	R00054
1.1.3.28	R00055
3.1.4.1	R00056
3.6.1.9	R00056
1.8.3.2	R00057
1.10.3.1	R00058
1.14.18.1	R00058
3.5.1.46	R00059
1.21.3.4	R00060
1.21.3.5	R00061
2.4.1.95	R00062
2.3.1.103	R00063
2.5.1.9	R00066
1.18.6.1	R00067
1.10.3.3	R00068
1.17.3.2	R00069
1.1.3.23	R00072
1.14.99.1	R00073
1.10.3.4	R00074
2.5.1.43	R00075
2.7.11.19	R00076
3.1.3.17	R00077
1.16.3.1	R00078
1.1.3.14	R00080
1.10.3.1	R00080
1.7.2.1	R00081
1.9.3.1	R00081
1.7.2.1	R00082
1.9.3.1	R00082
1.10.3.2	R00083
2.5.1.61	R00084
3.6.1.5	R00085
3.6.1.3	R00086
3.6.1.5	R00086
3.6.1.8	R00086
3.6.1.15	R00086
3.6.3.1	R00086
3.6.3.2	R00086
3.6.3.3	R00086
3.6.3.4	R00086
3.6.3.5	R00086
3.6.3.6	R00086
3.6.3.7	R00086
3.6.3.8	R00086
3.6.3.9	R00086
3.6.3.10	R00086
3.6.3.11	R00086
3.6.3.12	R00086
3.6.3.14	R00086
3.6.3.15	R00086
3.6.3.16	R00086
3.6.3.17	R00086
3.6.3.18	R00086
3.6.3.19	R00086
3.6.3.20	R00086
3.6.3.21	R00086
3.6.3.22	R00086
3.6.3.23	R00086
3.6.3.24	R00086
3.6.3.25	R00086
3.6.3.26	R00086
3.6.3.27	R00086
3.6.3.28	R00086
3.6.3.29	R00086
3.6.3.30	R00086
3.6.3.31	R00086
3.6.3.32	R00086
3.6.3.33	R00086
3.6.3.34	R00086
3.6.3.35	R00086
3.6.3.36	R00086
3.6.3.37	R00086
3.6.3.38	R00086
3.6.3.39	R00086
3.6.3.40	R00086
3.6.3.41	R00086
3.6.3.42	R00086
3.6.3.43	R00086
3.6.3.44	R00086
3.6.3.46	R00086
3.6.3.47	R00086
3.6.3.48	R00086
3.6.3.49	R00086
3.6.3.50	R00086
3.6.3.51	R00086
3.6.3.52	R00086
3.6.3.53	R00086
3.6.3.54	R00086
3.6.4.1	R00086
3.6.4.2	R00086
3.6.4.3	R00086
3.6.4.4	R00086
3.6.4.5	R00086
3.6.4.6	R00086
3.6.4.7	R00086
3.6.4.8	R00086
3.6.4.9	R00086
3.6.4.10	R00086
3.6.4.11	R00086
3.6.4.12	R00086
3.6.4.13	R00086
3.6.1.8	R00087
3.5.4.18	R00088
4.6.1.1	R00089
1.11.1.1	R00090
1.16.1.7	R00092
1.4.1.13	R00093
1.4.1.14	R00093
1.8.1.7	R00094
1.6.5.4	R00095
1.5.1.41	R00097
1.16.1.3	R00097
1.16.1.4	R00099
1.6.2.2	R00100
1.6.2.6	R00101
2.4.99.20	R00102
3.2.2.5	R00102
3.2.2.6	R00102
3.1.4.1	R00103
3.6.1.9	R00103
3.6.1.22	R00103
2.7.1.23	R00104
2.7.1.86	R00105
1.6.2.4	R00106
1.16.1.5	R00107
1.6.2.5	R00108
1.6.2.6	R00109
1.14.13.39	R00111
1.14.13.165	R00111
1.6.1.1	R00112
1.6.1.2	R00112
1.6.1.3	R00112
1.11.1.2	R00113
1.4.1.13	R00114
1.4.1.14	R00114
1.8.1.7	R00115
2.4.99.20	R00119
3.2.2.6	R00119
1.8.3.3	R00120
3.6.1.5	R00122
3.5.4.7	R00123
2.7.4.3	R00124
2.7.4.6	R00124
3.6.1.41	R00125
2.7.7.53	R00126
2.7.4.3	R00127
2.7.4.6	R00127
3.6.1.14	R00128
4.2.1.93	R00129
2.7.1.24	R00130
2.7.7.3	R00130
3.5.1.5	R00131
4.2.1.1	R00132
1.2.1.43	R00134
3.4.11.1	R00135
3.4.11.5	R00135
2.7.1.22	R00137
2.7.7.1	R00137
2.7.7.18	R00137
3.6.1.25	R00138
2.7.4.6	R00139
2.7.4.12	R00140
2.7.3.8	R00141
1.7.1.10	R00143
1.7.2.1	R00143
1.7.99.1	R00143
1.4.1.1	R00145
1.4.1.2	R00145
1.4.1.3	R00145
1.4.1.4	R00145
1.4.1.5	R00145
1.4.1.7	R00145
1.4.1.8	R00145
1.4.1.9	R00145
1.4.1.10	R00145
1.4.1.12	R00145
1.4.1.15	R00145
1.4.1.19	R00145
1.4.1.20	R00145
1.4.1.1	R00146
1.4.1.2	R00146
1.4.1.3	R00146
1.4.1.4	R00146
1.4.1.5	R00146
1.4.1.7	R00146
1.4.1.8	R00146
