rxns,metal
R00036,zn
R00086,zn
R00132,zn
R00135,zn
R00148,zn
R00161,zn
R00184,zn
R00228,zn
R00275,zn
R00297,zn
R00318,zn
R00344,zn
R00353,zn
R00549,zn
R00614,zn
R00623,zn
R00624,zn
R00625,zn
R00626,zn
R00649,zn
R00669,zn
R00746,zn
R00754,zn
R00762,zn
R00772,zn
R00885,zn
R00899,zn
R00919,zn
R00930,zn
R00946,zn
R01010,zn
R01041,zn
R01068,zn
R01070,zn
R01096,zn
R01166,zn
R01172,zn
R01217,zn
R01263,zn
R01312,zn
R01481,zn
R01553,zn
R01581,zn
R01819,zn
R01829,zn
R01878,zn
R01931,zn
R01992,zn
R02027,zn
R02029,zn
R02052,zn
R02075,zn
R02076,zn
R02124,zn
R02139,zn
R02182,zn
R02192,zn
R02239,zn
R02364,zn
R02485,zn
R02551,zn
R02568,zn
R02670,zn
R02739,zn
R02740,zn
R02811,zn
R02878,zn
R02882,zn
R02903,zn
R03024,zn
R03045,zn
R03057,zn
R03105,zn
R03106,zn
R03274,zn
R03321,zn
R03332,zn
R03673,zn
R03763,zn
R03764,zn
R03870,zn
R04286,zn
R04405,zn
R04428,zn
R04535,zn
R04537,zn
R04544,zn
R04568,zn
R04587,zn
R04598,zn
R04599,zn
R04600,zn
R04601,zn
R04620,zn
R04772,zn
R04780,zn
R04805,zn
R04880,zn
R04951,zn
R04954,zn
R04965,zn
R05147,zn
R05231,zn
R05233,zn
R05234,zn
R05571,zn
R05679,zn
R05680,zn
R05759,zn
R05761,zn
R05762,zn
R06421,zn
R06422,zn
R06917,zn
R06927,zn
R06983,zn
R07105,zn
R07140,zn
R07147,zn
R07157,zn
R07303,zn
R07328,zn
R07381,zn
R07459,zn
R07607,zn
R07651,zn
R07984,zn
R08034,zn
R08221,zn
R08281,zn
R08306,zn
R08310,zn
R08499,zn
R08538,zn
R08557,zn
R08558,zn
R08568,zn
R08892,zn
R08991,zn
R08993,zn
R09124,zn
R09156,zn
R09286,zn
R09317,zn
R09358,zn
R09365,zn
R09488,zn
R09518,zn
R09519,zn
R09552,zn
R09553,zn
R09644,zn
R09651,zn
R09681,zn
R09721,zn
R09726,zn
R09735,zn
R09844,zn
R09876,zn
R09879,zn
R09880,zn
R09926,zn
R09927,zn
R09928,zn
R09929,zn
R09959,zn
R09964,zn
R09978,zn
R09998,zn
R09999,zn
R10000,zn
R10021,zn
R10049,zn
R10050,zn
R10092,zn
R10130,zn
R10205,zn
R10223,zn
R10344,zn
R10345,zn
R10348,zn
R10534,zn
R10535,zn
R10538,zn
R10553,zn
R10777,zn
R10783,zn
R00002,mg
R00036,mg
R00067,mg
R00085,mg
R00086,mg
R00122,mg
R00153,mg
R00155,mg
R00159,mg
R00161,mg
R00173,mg
R00184,mg
R00191,mg
R00237,mg
R00267,mg
R00268,mg
R00283,mg
R00289,mg
R00307,mg
R00315,mg
R00328,mg
R00335,mg
R00347,mg
R00425,mg
R00426,mg
R00473,mg
R00502,mg
R00514,mg
R00549,mg
R00569,mg
R00614,mg
R00662,mg
R00702,mg
R00709,mg
R00719,mg
R00720,mg
R00740,mg
R00766,mg
R00805,mg
R00855,mg
R00878,mg
R00934,mg
R00961,mg
R01054,mg
R01123,mg
R01307,mg
R01353,mg
R01381,mg
R01432,mg
R01471,mg
R01492,mg
R01538,mg
R01625,mg
R01716,mg
R01717,mg
R01855,mg
R01899,mg
R01911,mg
R01917,mg
R01918,mg
R01974,mg
R02007,mg
R02009,mg
R02010,mg
R02013,mg
R02029,mg
R02092,mg
R02095,mg
R02100,mg
R02239,mg
R02261,mg
R02307,mg
R02311,mg
R02319,mg
R02451,mg
R02494,mg
R02720,mg
R02728,mg
R02794,mg
R02802,mg
R02858,mg
R02859,mg
R02872,mg
R02931,mg
R02996,mg
R03033,mg
R03077,mg
R03161,mg
R03363,mg
R03531,mg
R03595,mg
R03932,mg
R04031,mg
R04053,mg
R04158,mg
R04162,mg
R04275,mg
R04286,mg
R04372,mg
R04469,mg
R04507,mg
R04513,mg
R04520,mg
R04571,mg
R04580,mg
R04782,mg
R04870,mg
R05164,mg
R05185,mg
R05186,mg
R05220,mg
R05225,mg
R05327,mg
R05338,mg
R05339,mg
R05496,mg
R05553,mg
R05633,mg
R05634,mg
R05637,mg
R05651,mg
R05688,mg
R05735,mg
R05739,mg
R05744,mg
R05758,mg
R05759,mg
R05765,mg
R05766,mg
R05768,mg
R05789,mg
R05790,mg
R05794,mg
R05804,mg
R05805,mg
R05842,mg
R06068,mg
R06073,mg
R06131,mg
R06211,mg
R06223,mg
R06284,mg
R06298,mg
R06301,mg
R06312,mg
R06313,mg
R06314,mg
R06315,mg
R06421,mg
R06422,mg
R06520,mg
R06521,mg
R06522,mg
R06564,mg
R06602,mg
R06620,mg
R06870,mg
R06871,mg
R07108,mg
R07109,mg
R07110,mg
R07111,mg
R07125,mg
R07268,mg
R07281,mg
R07299,mg
R07306,mg
R07307,mg
R07409,mg
R07476,mg
R07500,mg
R07582,mg
R07630,mg
R07631,mg
R07632,mg
R07647,mg
R07648,mg
R07649,mg
R07722,mg
R07770,mg
R07771,mg
R07798,mg
R07830,mg
R08057,mg
R08058,mg
R08117,mg
R08165,mg
R08166,mg
R08195,mg
R08196,mg
R08199,mg
R08200,mg
R08201,mg
R08370,mg
R08396,mg
R08528,mg
R08543,mg
R08733,mg
R08738,mg
R08743,mg
R08782,mg
R08845,mg
R08898,mg
R08900,mg
R08946,mg
R08947,mg
R08948,mg
R08951,mg
R08952,mg
R08956,mg
R08962,mg
R08966,mg
R08967,mg
R08968,mg
R08982,mg
R08991,mg
R08993,mg
R09040,mg
R09057,mg
R09058,mg
R09067,mg
R09084,mg
R09085,mg
R09086,mg
R09140,mg
R09245,mg
R09246,mg
R09280,mg
R09289,mg
R09484,mg
R09485,mg
R09487,mg
R09488,mg
R09538,mg
R09553,mg
R09558,mg
R09592,mg
R09593,mg
R09615,mg
R09617,mg
R09623,mg
R09630,mg
R09636,mg
R09644,mg
R09663,mg
R09664,mg
R09681,mg
R09684,mg
R09685,mg
R09694,mg
R09714,mg
R09715,mg
R09717,mg
R09718,mg
R09726,mg
R09735,mg
R09780,mg
R09786,mg
R09798,mg
R09822,mg
R09832,mg
R09843,mg
R09844,mg
R09879,mg
R09880,mg
R09887,mg
R09890,mg
R09891,mg
R09893,mg
R09896,mg
R09900,mg
R09901,mg
R09902,mg
R09944,mg
R09945,mg
R09959,mg
R09964,mg
R09965,mg
R09967,mg
R09969,mg
R09970,mg
R09971,mg
R09974,mg
R10002,mg
R10006,mg
R10090,mg
R10091,mg
R10095,mg
R10175,mg
R10187,mg
R10231,mg
R10235,mg
R10337,mg
R10433,mg
R10442,mg
R10443,mg
R10452,mg
R10464,mg
R10509,mg
R10525,mg
R10537,mg
R10612,mg
R10613,mg
R10708,mg
R10763,mg
R10772,mg
R10815,mg
R10820,mg
R10841,mg
R10842,mg
R00184,co
R00353,co
R00411,co
R00930,co
R01211,co
R01492,co
R01518,co
R01569,co
R01645,co
R01647,co
R01664,co
R01968,co
R02088,co
R02102,co
R02412,co
R02413,co
R02551,co
R02782,co
R02858,co
R02882,co
R03083,co
R03084,co
R03460,co
R04384,co
R04594,co
R05150,co
R05177,co
R05180,co
R05220,co
R05224,co
R05227,co
R05659,co
R05688,co
R05805,co
R05807,co
R05809,co
R05812,co
R05813,co
R05814,co
R05815,co
R06870,co
R06871,co
R07268,co
R07636,co
R07772,co
R07773,co
R07774,co
R07775,co
R08195,co
R08196,co
R08200,co
R08538,co
R08617,co
R08898,co
R08900,co
R08967,co
R08993,co
R09084,co
R09085,co
R09086,co
R09098,co
R09124,co
R09394,co
R09551,co
R09558,co
R09598,co
R09599,co
R09663,co
R09664,co
R09681,co
R09683,co
R09684,co
R09717,co
R09718,co
R09841,co
R09879,co
R09880,co
R09952,co
R09997,co
