EC,cofactor_id,External Dependence,Substitution Logic,Inhibitor,in_kegg,in_expasy,in_pdbe,comment_kegg,ec_names,comment_expasy,HET,cpdsViaHETs,in_ebi,cofactor_ebi,cofactor_expasy,cofactor_pdbe,match_via_ebi_cofactor,match_via_expasy_cofactor,match_via_kegg,match_via_pdbe_cofactor,source_ebi,EC3_description,EC_cpds,cofactorCIDsInEC,cofactorCIDsInEC_count
1.15.1.1,"['Cu', 'Zn']",TRUE,,,,TRUE,,"A metalloprotein; also known as erythrocuprein, hemocuprein or cytocuprein. Enzymes from most eukaryotes contain both copper and zinc; those from mitochondria and most prokaryotes contain manganese or iron.","['superoxide dismutase', 'superoxidase dismutase', 'copper-zinc superoxide dismutase', 'Cu-Zn superoxide dismutase', 'ferrisuperoxide dismutase', 'superoxide dismutase I', 'superoxide dismutase II', 'SOD', 'Cu,Zn-SOD', 'Mn-SOD', 'Fe-SOD', 'SODF', 'SODS', 'SOD-1', 'SOD-2', 'SOD-3', 'SOD-4', 'hemocuprein', 'erythrocuprein', 'cytocuprein', 'cuprein', 'hepatocuprein']",,,,,,(Zn(2+) and Cu cation),,,"['Zn(2+)', 'Cu ']",,,,Acting on superoxide as acceptor.,"['C00007', 'C00027', 'C00080', 'C00704']",,
6.2.1.35,2'-(5-phosphoribosyl)-3'-dephospho-CoA,TRUE,,,TRUE,,,"This enzyme, from the anaerobic bacterium Malonomonas rubra, is a component of the multienzyme complex EC 7.2.4.4, biotin-dependent malonate decarboxylase. The enzyme uses the energy from hydrolysis of ATP to convert the thiol group of the acyl-carrier-protein-bound 2'-(5-phosphoribosyl)-3'-dephospho-CoA prosthetic group into its acetyl thioester [2].","['acetate---[acyl-carrier protein] ligase', 'HS-acyl-carrier protein:acetate ligase', '[acyl-carrier protein]:acetate ligase', 'MadH', 'ACP-SH:acetate ligase']",,,,,,,,,,"['biotin', 'acyl-carrier-protein', ""2'-(5-phosphoribosyl)-3'-dephospho-CoA""]",,,Acid--thiol ligases.,"['C00002', 'C00013', 'C00020', 'C00033', 'C00229', 'C03939']",,
2.3.1.39,2'-(5-triphosphoribosyl)-3'-dephospho-CoA,TRUE,"2'-(5-triphosphoribosyl)-3'-dephospho-CoA,Pantatheine",,TRUE,,,"This enzyme, along with EC 2.3.1.38, [acyl-carrier-protein] S-acetyltransferase, is essential for the initiation of fatty-acid biosynthesis in bacteria. This enzyme also provides the malonyl groups for polyketide biosynthesis [7]. The product of the reaction, malonyl-ACP, is an elongation substrate in fatty-acid biosynthesis. In Mycobacterium tuberculosis, holo-ACP (the product of EC 2.7.8.7, holo-[acyl-carrier-protein] synthase) is the preferred substrate [5]. This enzyme also forms part of the multienzyme complexes EC 4.1.1.88, biotin-independent malonate decarboxylase and EC 7.2.4.4, biotin-dependent malonate decarboxylase. Malonylation of ACP is immediately followed by decarboxylation within the malonate-decarboxylase complex to yield acetyl-ACP, the catalytically active species of the decarboxylase [12]. In the enzyme from Klebsiella pneumoniae, methylmalonyl-CoA can also act as a substrate but acetyl-CoA cannot [10] whereas the enzyme from Pseudomonas putida can use both as substrates [11]. The ACP subunit found in fatty-acid biosynthesis contains a pantetheine-4'-phosphate prosthetic group; that from malonate decarboxylase also contains pantetheine-4'-phosphate but in the form of a 2'-(5-triphosphoribosyl)-3'-dephospho-CoA prosthetic group.","['[acyl-carrier-protein] S-malonyltransferase', '[acyl carrier protein]malonyltransferase', 'FabD', 'malonyl coenzyme A-acyl carrier protein transacylase', 'malonyl transacylase', 'malonyl transferase', 'malonyl-CoA-acyl carrier protein transacylase', 'malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase', 'malonyl-CoA:ACP transacylase', 'malonyl-CoA:ACP-SH transacylase', 'malonyl-CoA:AcpM transacylase', 'malonyl-CoA:acyl carrier protein transacylase', 'malonyl-CoA:acyl-carrier-protein transacylase', 'malonyl-CoA/dephospho-CoA acyltransferase', 'MAT', 'MCAT', 'MdcH']",,,,,,,,,,"['biotin', 'acyl-carrier-protein', ""2'-(5-triphosphoribosyl)-3'-dephospho-CoA"", ""pantetheine-4'-phosphate""]",,,Transferring groups other than amino-acyl groups.,"['C00010', 'C00083', 'C00229', 'C01209']",,
2.4.2.52,2'-(5-triphosphoribosyl)-3'-dephospho-CoA,TRUE,,,TRUE,,,"ATP cannot be replaced by GTP, CTP, UTP, ADP or AMP. The reaction involves the formation of a new alpha (1''->2') glycosidic bond between the two ribosyl moieties, with concomitant displacement of the adenine moiety of ATP [1,4]. The 2'-(5-triphosphoribosyl)-3'-dephospho-CoA produced can be transferred by EC 2.7.7.61, citrate lyase holo-[acyl-carrier protein] synthase, to the apo-acyl-carrier protein subunit (gamma-subunit) of EC 4.1.3.6, citrate (pro-3S) lyase, thus converting it from an apo-enzyme into a holo-enzyme [1,3]. Alternatively, it can be transferred to the apo-ACP subunit of malonate decarboxylase by the action of EC 2.7.7.66, malonate decarboxylase holo-[acyl-carrier protein] synthase [4].","['triphosphoribosyl-dephospho-CoA synthase', ""2'-(5''-triphosphoribosyl)-3-dephospho-CoA synthase"", 'ATP:dephospho-CoA 5-triphosphoribosyl transferase', 'CitG', ""ATP:dephospho-CoA 5'-triphosphoribosyl transferase"", 'MdcB', ""ATP:3-dephospho-CoA 5''-triphosphoribosyltransferase"", 'MadG']",,,,,,,,,,"['acyl-carrier protein', ""2'-(5-triphosphoribosyl)-3'-dephospho-CoA""]",,,Pentosyltransferases.,"['C00002', 'C00147', 'C00882', 'C19771']",,
2.7.7.61,2'-(5-triphosphoribosyl)-3'-dephospho-CoA,TRUE,,,TRUE,,,"The gamma-subunit of EC 4.1.3.6, citrate (pro-3S) lyase, serves as an acyl-carrier protein (ACP) and contains the prosthetic group 2'-(5-triphosphoribosyl)-3'-dephospho-CoA [1,3]. Synthesis and attachment of the prosthetic group requires the concerted action of this enzyme and EC 2.4.2.52, triphosphoribosyl-dephospho-CoA synthase [1]. In the enzyme from Escherichia coli, the prosthetic group is attached to serine-14 of the ACP via a phosphodiester bond.","['citrate lyase holo-[acyl-carrier protein] synthase', ""2'-(5''-phosphoribosyl)-3'-dephospho-CoA transferase"", ""2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate lyase"", 'CitX', 'holo-ACP synthase (ambiguous)', ""2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate lyase adenylyltransferase"", ""2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate lyase 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA transferase"", ""2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate-lyase adenylyltransferase"", 'holo-citrate lyase synthase (incorrect)', ""2'-(5-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate-lyase 2'-(5-phosphoribosyl)-3'-dephospho-CoA-transferase""]",,,,,,,,,,"['acyl-carrier protein', ""2'-(5-triphosphoribosyl)-3'-dephospho-CoA""]",,,Nucleotidyltransferases.,"['C00013', 'C00229', 'C03688', 'C19771']",,
2.7.7.66,2'-(5-triphosphoribosyl)-3'-dephospho-CoA,TRUE,,,TRUE,,,"The delta subunit of malonate decarboxylase serves as an an acyl-carrier protein (ACP) and contains the prosthetic group 2-(5-triphosphoribosyl)-3-dephospho-CoA. Two reactions are involved in the production of the holo-ACP form of this enzyme. The first reaction is catalysed by EC 2.4.2.52, triphosphoribosyl-dephospho-CoA synthase. The resulting prosthetic group is then attached to the ACP subunit via a phosphodiester linkage to a serine residue, thus forming the holo form of the enzyme, in a manner analogous to that of EC 2.7.7.61, citrate lyase holo-[acyl-carrier protein] synthase.","['malonate decarboxylase holo-[acyl-carrier protein] synthase', 'holo ACP synthase (ambiguous)', ""2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo ACP 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA transferase"", 'MdcG', ""2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-malonate-decarboxylase adenylyltransferase"", 'holo-malonate-decarboxylase synthase (incorrect)']",,,,,,,,,,"['acyl-carrier protein', '2-(5-triphosphoribosyl)-3-dephospho-CoA']",,,Nucleotidyltransferases.,"['C00013', 'C00229', 'C03688', 'C19771']",,
4.1.1.88,2'-(5-triphosphoribosyl)-3'-dephospho-CoA,TRUE,,,TRUE,,,"Two types of malonate decarboxylase are currently known, both of which form multienzyme complexes. This enzyme is a cytosolic protein that is biotin-independent. The other type is a biotin-dependent, Na+-translocating enzyme that includes both soluble and membrane-bound components (cf. EC 7.2.4.4, biotin-dependent malonate decarboxylase). As free malonate is chemically rather inert, it has to be activated prior to decarboxylation. In both enzymes, this is achieved by exchanging malonate with an acetyl group bound to an acyl-carrier protiein (ACP), to form malonyl-ACP and acetate, with subsequent decarboxylation regenerating the acetyl-ACP. The ACP subunit of both enzymes differs from that found in fatty-acid biosynthesis by having phosphopantethine attached to a serine side-chain as 2-(5-triphosphoribosyl)-3-dephospho-CoA rather than as phosphopantetheine 4'-phosphate. The individual enzymes involved in carrying out the reaction of this enzyme complex are EC 2.3.1.187 (acetyl-S-ACP:malonate ACP transferase), EC 2.3.1.39 ([acyl-carrier-protein] S-malonyltransferase) and EC 4.1.1.87 (malonyl-S-ACP decarboxylase). The carboxy group is lost with retention of configuration [6].","['biotin-independent malonate decarboxylase', 'malonate decarboxylase (without biotin)', 'malonate decarboxylase (ambiguous)', 'MDC']",,,,,,,,,,"['biotin', 'ACP', '2-(5-triphosphoribosyl)-3-dephospho-CoA', 'phosphopantetheine', 'Na+']",,,Carboxy-lyases.,"['C00011', 'C00033', 'C00383']",,
1.14.12.15,2Fe2S,TRUE,,,TRUE,,,Has been shown to contain a Rieske [2Fe-2S] cluster,"['terephthalate 1,2-dioxygenase', 'benzene-1,4-dicarboxylate 1,2-dioxygenase', '1,4-dicarboxybenzoate 1,2-dioxygenase']",,,,,,,,,,['2Fe-2S'],,,"With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor.","['C00003', 'C00004', 'C00007', 'C00080', 'C06318', 'C06337']",[],0
1.14.12.18,2Fe2S,TRUE,,,TRUE,,,"Requires Fe2+. The enzyme from Burkholderia fungorum LB400 (previously Pseudomonas sp.) is part of a multicomponent system composed of an NADH:ferredoxin oxidoreductase (FAD cofactor), a [2Fe-2S] Rieske-type ferredoxin, and a terminal oxygenase that contains a [2Fe-2S] Rieske-type iron-sulfur cluster and a catalytic mononuclear nonheme iron centre. Chlorine-substituted biphenyls can also act as substrates. Similar to the three-component enzyme systems EC 1.14.12.3 (benzene 1,2-dioxygenase) and EC 1.14.12.11 (toluene dioxygenase).","['biphenyl 2,3-dioxygenase', 'biphenyl dioxygenase']",,,,,,,,,,"['2Fe-2S', 'ferredoxin', 'FAD', 'heme', 'NADH', 'Fe2+']",,,"With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor.","['C00003', 'C00004', 'C00005', 'C00006', 'C00007', 'C00080', 'C06584', 'C06585', 'C06588', 'C06589']",[],0
1.14.12.22,2Fe2S,TRUE,,,TRUE,,,"This enzyme catalyses the first reaction in the pathway of carbazole degradation. The enzyme attacks at the 1 and 9a positions of carbazole, resulting in the formation of a highly unstable hemiaminal intermediate that undergoes a spontaneous cleavage and rearomatization, resulting in 2'-aminobiphenyl-2,3-diol. In most bacteria the enzyme is a complex composed of a terminal oxygenase, a ferredoxin, and a ferredoxin reductase. The terminal oxygenase component contains a nonheme iron centre and a Rieske [2Fe-2S] iron-sulfur cluster.","['carbazole 1,9a-dioxygenase', 'CARDO']",,,,,,,,,,"['2Fe-2S', 'ferredoxin', 'heme', 'iron']",,,"With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor.","['C00003', 'C00004', 'C00005', 'C00006', 'C00007', 'C00080', 'C08060', 'C08061']",[],0
