ec,cofactor
1.1.1.1,zn
1.1.1.2,zn
1.1.1.41,mg
1.1.1.41,mn
1.1.1.42,mg
1.1.1.42,mn
1.1.1.84,co
1.1.1.84,mn
1.1.1.93,mn
1.1.1.203,mg
1.1.1.251,zn
1.1.1.261,ni
1.1.1.261,zn
1.1.1.267,co
1.1.1.267,mg
1.1.1.267,mn
1.1.1.284,zn
1.1.1.286,mn
1.1.1.288,mo
1.1.1.324,zn
1.1.1.327,zn
1.1.1.329,zn
1.1.1.360,zn
1.1.2.3,heme
1.1.2.3,flavoprotein
1.1.2.4,flavoprotein
1.1.3.4,flavoprotein
1.1.3.5,cu
1.1.3.6,flavoprotein
1.1.3.8,flavoprotein
1.1.3.9,cu
1.1.3.10,flavoprotein
1.1.3.12,flavoprotein
1.1.3.13,flavoprotein
1.1.3.15,flavoprotein
1.1.3.17,flavoprotein
1.1.3.18,fe
1.1.3.19,mn
1.1.3.19,flavoprotein
1.1.3.21,flavoprotein
1.1.3.23,flavoprotein
1.1.3.37,flavoprotein
1.1.3.38,flavoprotein
1.1.3.39,heme
1.1.3.39,flavoprotein
1.1.3.41,flavoprotein
1.1.3.43,flavoprotein
1.1.3.44,flavoprotein
1.1.3.45,flavoprotein
1.1.3.46,flavoprotein
1.1.5.2,mg
1.1.5.4,flavoprotein
1.1.5.5,heme
1.1.5.6,heme
1.1.5.6,fes_4Fe_4S
1.1.5.6,pterin
1.1.5.9,flavoprotein
1.1.5.10,flavoprotein
1.1.9.1,heme
1.1.98.4,fe
1.1.98.4,fes
1.1.98.4,flavoprotein
1.1.99.3,flavoprotein
1.1.99.4,flavoprotein
1.1.99.6,flavoprotein
1.1.99.6,zn
1.1.99.9,flavoprotein
1.1.99.13,flavoprotein
1.1.99.18,heme
1.1.99.18,fe
1.1.99.21,flavoprotein
1.1.99.27,flavoprotein
1.1.99.29,flavoprotein
1.1.99.30,fes_4Fe_4S
1.1.99.30,mo
1.1.99.30,pterin
1.1.99.31,flavoprotein
1.1.99.32,co
1.1.99.33,fes_4Fe_4S
1.1.99.33,pterin
1.1.99.36,zn
1.1.99.37,mg
1.1.99.37,zn
1.2.1.2,fe
1.2.1.2,fes
1.2.1.2,mo
1.2.1.36,flavoprotein
1.2.1.43,fe
1.2.1.43,w
1.2.1.50,flavoprotein
1.2.1.51,flavoprotein
1.2.1.58,tpp
1.2.1.58,fe
1.2.1.58,fes
1.2.1.58,flavoprotein
1.2.1.75,mg
1.2.1.80,mg
1.2.1.89,flavoprotein
1.2.2.4,fes_2Fe_2S
1.2.2.4,flavoprotein
1.2.2.4,pterin
1.2.3.1,fes_2Fe_2S
1.2.3.1,flavoprotein
1.2.3.1,mo
1.2.3.3,tpp
1.2.3.3,flavoprotein
1.2.3.4,mn
1.2.3.4,flavoprotein
1.2.3.6,flavoprotein
1.2.3.7,heme
1.2.3.7,fe
1.2.3.7,flavoprotein
1.2.3.7,mo
1.2.3.8,mo
1.2.4.1,tpp
1.2.4.2,tpp
1.2.4.4,tpp
1.2.5.1,tpp
1.2.5.1,flavoprotein
1.2.5.2,heme
1.2.7.1,fes_4Fe_4S
1.2.7.1,tpp
1.2.7.3,fes_4Fe_4S
1.2.7.3,tpp
1.2.7.4,ni
1.2.7.4,fe
1.2.7.4,zn
1.2.7.5,fe
1.2.7.5,w
1.2.7.5,fes
1.2.7.5,pterin
1.2.7.6,fe
1.2.7.6,w
1.2.7.6,fes
1.2.7.6,pterin
1.2.7.7,tpp
1.2.7.7,fe
1.2.7.7,fes
1.2.7.8,fes_4Fe_4S
1.2.7.8,tpp
1.2.7.10,fes_4Fe_4S
1.2.7.10,tpp
1.2.7.11,fes_4Fe_4S
1.2.7.11,tpp
1.2.98.1,mg
1.2.98.1,zn
1.2.99.2,fes_4Fe_4S
1.2.99.5,pterin
1.2.99.6,w
1.2.99.7,fes_2Fe_2S
1.2.99.7,flavoprotein
1.2.99.7,mo
1.2.99.7,pterin
1.2.99.8,fe
1.2.99.8,fes
1.2.99.8,flavoprotein
1.2.99.8,pterin
1.2.99.9,flavoprotein
1.3.1.1,fe
1.3.1.1,fes
1.3.1.5,fe
1.3.1.5,mn
1.3.1.5,zn
1.3.1.14,fes_2Fe_2S
1.3.1.14,fe
1.3.1.14,fes
1.3.1.14,flavoprotein
1.3.1.15,flavoprotein
1.3.1.31,fe
1.3.1.31,fes
1.3.1.31,flavoprotein
1.3.1.76,fe
1.3.1.80,fe
1.3.1.84,zn
1.3.1.95,flavoprotein
1.3.1.98,flavoprotein
1.3.1.101,flavoprotein
1.3.3.4,flavoprotein
1.3.3.6,flavoprotein
1.3.3.7,flavoprotein
1.3.3.8,flavoprotein
1.3.3.9,heme
1.3.3.10,heme
1.3.3.12,flavoprotein
1.3.3.13,flavoprotein
1.3.3.14,flavoprotein
1.3.5.1,fe
1.3.5.1,fes
1.3.5.1,flavoprotein
1.3.5.2,flavoprotein
1.3.7.4,fes_2Fe_2S
1.3.7.4,fes_4Fe_4S
1.3.7.7,fes_4Fe_4S
1.3.7.7,fe
1.3.7.8,mg
1.3.7.8,fe
1.3.7.8,mn
1.3.7.8,fes
1.3.7.9,fes_4Fe_4S
1.3.7.9,fe
1.3.7.9,fes
1.3.7.9,mo
1.3.8.1,flavoprotein
1.3.8.3,flavoprotein
1.3.8.4,flavoprotein
1.3.8.5,flavoprotein
1.3.8.6,flavoprotein
1.3.8.7,flavoprotein
1.3.8.8,flavoprotein
1.3.8.9,flavoprotein
1.3.8.10,flavoprotein
1.3.8.11,flavoprotein
1.3.8.12,flavoprotein
1.3.98.1,flavoprotein
1.3.99.5,flavoprotein
1.3.99.8,cu
1.3.99.19,fe
1.3.99.19,flavoprotein
1.3.99.19,mo
1.3.99.19,pterin
1.3.99.22,fes_4Fe_4S
1.3.99.28,flavoprotein
1.3.99.31,flavoprotein
1.3.99.32,flavoprotein
1.3.99.33,flavoprotein
1.3.99.35,fes_4Fe_4S
1.4.1.13,fes_3Fe_4S
1.4.1.13,fes_4Fe_4S
1.4.1.13,flavoprotein
1.4.1.14,flavoprotein
1.4.3.1,flavoprotein
1.4.3.2,flavoprotein
1.4.3.3,flavoprotein
1.4.3.4,flavoprotein
1.4.3.5,flavoprotein
1.4.3.6,cu
1.4.3.10,flavoprotein
1.4.3.11,flavoprotein
1.4.3.12,flavoprotein
1.4.3.15,flavoprotein
1.4.3.16,flavoprotein
1.4.3.19,flavoprotein
1.4.3.21,cu
1.4.3.22,cu
1.4.3.23,flavoprotein
1.4.3.24,flavoprotein
1.4.4.2,plp
1.4.5.1,fe
1.4.5.1,fes
1.4.5.1,flavoprotein
1.4.7.1,fes_3Fe_4S
1.4.7.1,flavoprotein
1.4.99.5,flavoprotein
