rn,delta_G,delta_G_error
AR1,2.3,0.13683399999999998
AR3,2.3,0.140578
AR11,3.76,0.0898641
AR12,0.75,0.00357656
AR13,0.75,0.00359652
AR14,2.3,0.113534
AR17,3.76,0.10413
AR18,3.76,0.10791700000000001
AR20,2.3,0.129591
AR21,2.3,0.093875
AR23,-5.22,0.16145299999999999
AR24,-3.76,0.25951399999999997
AR25,-3.76,0.25951399999999997
AR26,-6.22,0.236594
AR27,3.67,0.0747461
AR28,3.76,0.193692
AR29,3.76,0.193692
AR30,2.21,0.07852819999999999
AR31,2.3,0.090044
AR32,2.3,0.0839824
AR33,2.3,0.10093099999999999
AR34,2.3,0.0964275
AR35,2.3,0.09609989999999999
AR36,2.21,0.06878300000000001
AR37,2.21,0.0688
AR38,-6.08,0.0431315
AR39,2.3,0.062376999999999995
AR40,3.67,0.0250702
AR41,3.67,0.0901586
AR42,2.21,0.0784297
AR43,2.3,0.0863544
AR44,2.3,0.0901129
AR45,2.3,0.0635036
AR46,2.3,0.08419510000000001
AR47,2.3,0.0771607
AR48,2.3,0.0819685
AR49,4.76,0.0661433
AR50,2.21,0.0977005
AR51,2.3,0.0900951
AR52,2.3,0.0748062
AR53,-2.0,0.20286700000000002
AR55,2.3,0.08538330000000001
AR56,2.3,0.0870594
AR57,2.3,0.08873400000000001
AR58,5.22,0.142361
AR59,2.3,0.0816807
AR61,2.3,0.077662
AR64,2.21,0.07162339999999999
AR65,2.21,0.07162339999999999
AR66,2.21,0.0772054
AR67,-9.44,0.160246
AR68,2.3,0.0819685
AR69,2.3,0.09837910000000001
AR71,2.3,0.10492699999999999
AR75,2.3,0.08394960000000001
AR76,2.3,0.08740679999999999
AR77,2.3,0.0863148
AR78,2.3,0.0894869
AR79,2.3,0.0900373
AR80,2.3,0.09002389999999999
AR81,2.3,0.0983798
AR82,2.3,0.0961027
AR83,2.3,0.0747353
AR84,5.22,0.08874069999999999
AR85,2.3,0.0839824
AR86,2.3,0.0839824
AR87,2.3,0.0816717
AR88,2.3,0.0900176
AR90,3.76,0.0939151
AR91,6.22,0.097949
AR92,0.75,0.0899217
AR94,2.3,0.102698
AR95,2.3,0.0804558
AR96,2.3,0.0983768
AR97,0.75,0.0899196
AR98,2.3,0.0938652
AR99,2.3,0.102627
AR100,2.3,0.08644910000000001
AR101,2.3,0.09605069999999999
AR102,2.3,0.0982207
AR103,2.3,0.11578
AR104,0.75,0.0970942
AR105,2.3,0.0894701
AR107,0.75,0.105896
AR108,3.76,0.07927200000000001
AR109,3.76,0.015267600000000001
AR111,3.76,0.0789043
AR112,5.22,0.12526600000000002
AR113,3.76,0.0791492
AR114,3.76,0.0790188
AR115,3.76,0.0808571
AR116,3.76,0.080454
AR117,0.75,0.135318
AR118,2.21,0.07036469999999999
AR121,5.22,0.0948199
AR122,0.75,0.0520549
AR123,3.76,0.14743299999999998
AR124,3.76,0.14743299999999998
AR125,3.76,0.116421
AR126,6.22,0.0979592
AR127,4.76,0.160691
AR128,3.67,0.09720169999999999
