rn,cid,s
AR1,C00002,-1
AR1,C00003,-1
AR1,C00004,1
AR1,C00080,1
AR1,C07024,1
AR2,C00003,-1
AR2,C12462,-1
AR2,C00004,1
AR2,C00080,1
AR2,C12463,1
AR3,C00003,-1
AR3,C12481,-1
AR3,C00004,1
AR3,C00080,1
AR3,C11460,1
AR4,C00003,-1
AR4,C12357,-1
AR4,C00004,1
AR4,C00080,1
AR4,C12348,1
AR5,C00003,-1
AR5,C12358,-1
AR5,C00004,1
AR5,C00080,1
AR5,C12349,1
AR6,C00003,-1
AR6,C12359,-1
AR6,C00004,1
AR6,C00080,1
AR6,C12350,1
AR7,C00003,-1
AR7,C12360,-1
AR7,C00004,1
AR7,C00080,1
AR7,C12351,1
AR8,C00003,-1
AR8,C12361,-1
AR8,C00004,1
AR8,C00080,1
AR8,C12352,1
AR9,C00003,-1
AR9,C12362,-1
AR9,C00004,1
AR9,C00080,1
AR9,C12353,1
AR10,C00003,-1
AR10,C12363,-1
AR10,C00004,1
AR10,C00080,1
AR10,C12354,1
AR11,C00003,-1
AR11,C12418,-1
AR11,C00004,1
AR11,C00080,1
AR11,C12415,1
AR12,C00003,-1
AR12,C12419,-1
AR12,C00004,1
AR12,C00080,1
AR12,C12417,1
AR13,C00003,-1
AR13,C12424,-1
AR13,C00004,1
AR13,C00080,1
AR13,C12423,1
AR14,C00003,-1
AR14,C12447,-1
AR14,C00004,1
AR14,C00080,1
AR14,C18032,1
AR15,C00003,-1
AR15,C12448,-1
AR15,C00004,1
AR15,C00080,1
AR15,C20371,1
AR16,C00003,-1
AR16,C12365,-1
AR16,C00004,1
AR16,C00080,1
AR16,C12356,1
AR17,C00003,-1
AR17,C12430,-1
AR17,C00004,1
AR17,C00080,1
AR17,C01907,1
AR18,C00003,-1
AR18,C12431,-1
AR18,C00004,1
AR18,C00080,1
AR18,C12432,1
AR19,C00003,-1
AR19,C12442,-1
AR19,C00004,1
AR19,C00080,1
AR19,C12441,1
AR20,C00003,-1
AR20,C12443,-1
AR20,C00004,1
AR20,C00080,1
AR20,C12318,1
AR21,C00003,-1
AR21,C12978,-1
AR21,C00004,1
AR21,C00080,1
AR21,C03091,1
AR22,C00003,-1
AR22,C13500,-1
AR22,C00004,1
AR22,C00080,1
AR22,C03459,1
AR22,C14064,1
AR23,C00257,-2
AR23,C00004,-1
AR23,C00080,-1
AR23,C13085,-1
AR23,C00003,1
AR23,C13511,1
AR24,C00257,-2
AR24,C00004,-1
AR24,C00080,-1
AR24,C01062,-1
AR24,C00003,1
AR24,C13511,1
AR25,C00257,-2
AR25,C00004,-1
AR25,C00080,-1
AR25,C00618,-1
AR25,C00003,1
AR25,C13511,1
AR26,C00257,-2
AR26,C00004,-1
AR26,C00080,-1
AR26,C03342,-1
AR26,C00003,1
AR26,C13511,1
AR27,C00003,-1
AR27,C14089,-1
AR27,C00004,1
AR27,C00080,1
AR27,C14090,1
AR28,C00003,-1
AR28,C13542,-1
AR28,C00004,1
AR28,C00080,1
AR28,C19633,1
AR29,C00003,-1
AR29,C13542,-1
AR29,C00004,1
AR29,C00080,1
AR29,C19636,1
AR30,C00003,-1
AR30,C13638,-1
AR30,C00004,1
AR30,C00080,1
AR30,C10700,1
AR31,C00003,-1
AR31,C14590,-1
AR31,C00004,1
AR31,C00080,1
AR31,C14650,1
AR32,C00003,-1
AR32,C14600,-1
AR32,C00004,1
AR32,C00080,1
AR32,C05140,1
AR33,C00003,-1
AR33,C14593,-1
AR33,C00004,1
AR33,C00080,1
AR33,C15295,1
AR34,C00003,-1
AR34,C14631,-1
AR34,C00004,1
AR34,C00080,1
AR34,C15335,1
AR35,C00003,-1
AR35,C13713,-1
AR35,C00004,1
AR35,C00080,1
AR35,C18040,1
AR36,C00003,-1
AR36,C13898,-1
AR36,C00004,1
AR36,C00080,1
AR36,C13900,1
AR37,C00003,-1
AR37,C13901,-1
AR37,C00004,1
AR37,C00080,1
AR37,C13902,1
AR38,C00003,-1
AR38,C14180,-1
AR38,C00004,1
AR38,C00080,1
AR38,C01031,1
AR39,C00003,-1
AR39,C14256,-1
AR39,C00004,1
AR39,C00080,1
AR39,C05285,1
AR40,C00003,-1
AR40,C14109,-1
AR40,C00004,1
AR40,C00080,1
AR40,C14100,1
AR41,C00003,-1
AR41,C14110,-1
AR41,C00004,1
AR41,C00080,1
AR41,C16700,1
AR42,C00003,-1
AR42,C14118,-1
AR42,C00004,1
AR42,C00080,1
AR42,C14119,1
AR43,C00003,-1
AR43,C14239,-1
AR43,C00004,1
AR43,C00080,1
AR43,C14972,1
AR44,C00003,-1
AR44,C14485,-1
AR44,C00004,1
AR44,C00080,1
AR44,C14392,1
AR45,C00003,-1
AR45,C14552,-1
AR45,C00004,1
AR45,C00080,1
AR45,C14269,1
AR46,C00003,-1
AR46,C14553,-1
AR46,C00004,1
AR46,C00080,1
AR46,C14552,1
AR47,C00003,-1
AR47,C14555,-1
AR47,C00004,1
AR47,C00080,1
AR47,C14615,1
AR48,C00003,-1
AR48,C14605,-1
AR48,C00004,1
AR48,C00080,1
AR48,C15036,1
AR49,C00003,-1
AR49,C14383,-1
AR49,C00004,1
AR49,C00080,1
AR49,C14441,1
AR50,C00003,-1
AR50,C16015,-1
AR50,C00004,1
AR50,C00080,1
AR50,C01408,1
AR51,C00003,-1
AR51,C14498,-1
AR51,C00004,1
AR51,C00080,1
AR51,C14303,1
AR52,C00003,-1
AR52,C14502,-1
AR52,C00004,1
AR52,C00080,1
AR52,C20144,1
AR53,C00003,-1
AR53,C14722,-1
AR53,C00004,1
AR53,C00080,1
AR53,C14723,1
AR54,C00003,-1
AR54,C14616,-1
AR54,C00004,1
AR54,C00080,1
AR54,C15338,1
AR55,C00003,-1
AR55,C16493,-1
AR55,C00004,1
AR55,C00080,1
AR55,C16509,1
AR56,C00003,-1
AR56,C16494,-1
AR56,C00004,1
AR56,C00080,1
