,atlas_rn,rn
0,AR1,R05668
2,AR3,R10459
26,AR27,R06917
29,AR30,R06891
37,AR38,R06983
63,AR64,R07058
85,AR86,R08945
90,AR91,R07141
96,AR97,R07428
110,AR111,R07898
111,AR112,R07985
112,AR113,R07890
113,AR114,R07894
114,AR115,R07936
115,AR116,R07952
117,AR118,R08094
118,AR119,R08281
119,AR120,R08914
120,AR121,R08306
138,AR139,R08892
141,AR142,R08916
144,AR145,R10918
149,AR150,R09129
157,AR158,R09069
158,AR159,R09055
174,AR175,R10719
186,AR187,R10310
190,AR191,R10113
195,AR196,R09988
196,AR197,R09986
197,AR198,R10156
198,AR199,R10217
199,AR200,R10218
208,AR209,R10917
210,AR211,R06594
213,AR214,R00300
215,AR216,R10785
216,AR217,R10985
218,AR219,R10519
219,AR220,R10520
221,AR222,R00842
222,AR223,R00717
223,AR224,R01429
225,AR226,R08557
226,AR227,R01034
227,AR228,R01036
230,AR231,R00605
231,AR232,R01183
233,AR234,R00342
234,AR235,R01513
237,AR238,R01542
240,AR241,R03012
241,AR242,R02343
244,AR245,R02683
245,AR246,R01778
249,AR250,R02878
251,AR252,R02545
252,AR253,R01487
253,AR254,R10717
254,AR255,R02257
255,AR256,R02580
256,AR257,R02637
257,AR258,R02651
261,AR262,R02792
266,AR267,R02124
268,AR269,R11342
269,AR270,R02819
270,AR271,R03584
271,AR272,R02993
274,AR275,R02395
276,AR277,R00754
277,AR278,R10308
280,AR281,R00703
281,AR282,R01465
284,AR285,R10842
285,AR286,R00623
287,AR288,R01738
288,AR289,R02640
290,AR291,R01388
291,AR292,R01745
292,AR293,R01773
294,AR295,R01872
296,AR297,R03396
298,AR299,R02032
305,AR306,R10715
306,AR307,R08141
308,AR309,R06847
309,AR310,R08926
310,AR311,R02471
312,AR313,R02476
313,AR314,R01836
315,AR316,R01644
316,AR317,R03261
318,AR319,R10412
319,AR320,R01975
320,AR321,R03278
321,AR322,R02047
323,AR324,R02834
324,AR325,R02462
326,AR327,R02229
327,AR328,R03043
328,AR329,R05515
329,AR330,R09957
331,AR332,R02352
332,AR333,R02679
333,AR334,R06117
336,AR337,R01608
337,AR338,R03290
342,AR343,R01524
344,AR345,R08198
345,AR346,R01361
346,AR347,R03226
349,AR350,R01781
351,AR352,R02944
355,AR356,R01932
356,AR357,R03373
358,AR359,R02766
359,AR360,R03577
361,AR362,R00624
362,AR363,R03733
364,AR365,R03582
365,AR366,R03790
370,AR371,R04139
372,AR373,R03591
376,AR377,R10703
377,AR378,R04412
378,AR379,R08709
381,AR382,R02553
382,AR383,R01971
383,AR384,R07148
384,AR385,R03863
386,AR387,R09984
