cid	formula	name	num_rgroup	electrons
C00001	H2O	H2O; Water	0	10
C00002	C10H16N5O13P3	ATP; Adenosine 5'-triphosphate	0	260
C00003	C21H28N7O14P2	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	0	344
C00004	C21H29N7O14P2	NADH; DPNH; Reduced nicotinamide adenine dinucleotide	0	346
C00005	C21H30N7O17P3	NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	0	386
C00006	C21H29N7O17P3	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	0	384
C00007	O2	Oxygen; O2	0	16
C00008	C10H15N5O10P2	ADP; Adenosine 5'-diphosphate	0	220
C00009	H3PO4	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	0	50
C00010	C21H36N7O16P3S	CoA; Coenzyme A; CoA-SH	0	400
C00011	CO2	CO2; Carbon dioxide	0	22
C00013	H4P2O7	Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi	0	90
C00014	NH3	Ammonia; NH3	0	10
C00015	C9H14N2O12P2	UDP; Uridine 5'-diphosphate	0	208
C00016	C27H33N9O15P2	FAD; Flavin adenine dinucleotide	0	408
C00018	C8H10NO6P	Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; PLP	0	128
C00019	C15H22N6O5S	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	0	210
C00020	C10H14N5O7P	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	0	180
C00021	C14H20N6O5S	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	0	202
C00022	C3H4O3	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	0	46
C00024	C23H38N7O17P3S	Acetyl-CoA; Acetyl coenzyme A	0	422
C00025	C5H9NO4	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	0	78
C00026	C5H6O5	2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid	0	76
C00027	H2O2	Hydrogen peroxide; H2O2; Oxydol	0	18
C00029	C15H24N2O17P2	UDP-glucose; UDPglucose; UDP-D-glucose; Uridine diphosphate glucose; UDP-alpha-D-glucose	0	294
C00031	C6H12O6	D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose	0	96
C00032	C34H32FeN4O4	Heme; Haem; Protoheme; Heme B; Protoheme IX	0	298
C00033	C2H4O2	Acetate; Acetic acid; Ethanoic acid	0	32
C00035	C10H15N5O11P2	GDP; Guanosine 5'-diphosphate; Guanosine diphosphate	0	228
C00036	C4H4O5	Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate	0	68
C00037	C2H5NO2	Glycine; Aminoacetic acid; Gly	0	40
C00041	C3H7NO2	L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine	0	48
C00042	C4H6O4	Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid	0	62
C00043	C17H27N3O17P2	UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine	0	316
C00044	C10H16N5O14P3	GTP; Guanosine 5'-triphosphate	0	268
C00047	C6H14N2O2	L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid	0	80
C00048	C2H2O3	Glyoxylate; Glyoxalate; Glyoxylic acid	0	38
C00049	C4H7NO4	L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp	0	70
C00051	C10H17N3O6S	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	0	162
C00052	C15H24N2O17P2	UDP-alpha-D-galactose; UDP-D-galactose; UDP-galactose; UDP-D-galactopyranose; UDP-alpha-D-galactopyranose	0	294
C00053	C10H15N5O13P2S	3'-Phosphoadenylyl sulfate; 3'-Phosphoadenosine 5'-phosphosulfate; 3'-Phospho-5'-adenylyl sulfate; PAPS	0	260
C00054	C10H15N5O10P2	Adenosine 3',5'-bisphosphate; PAP; 3'-Phosphoadenylate; Phosphoadenosine phosphate	0	220
C00055	C9H14N3O8P	CMP; Cytidine-5'-monophosphate; Cytidylic acid	0	168
C00058	CH2O2	Formate; Methanoic acid; Formic acid	0	24
C00059	H2SO4	Sulfate; Sulfuric acid	0	50
C00061	C17H21N4O9P	FMN; Riboflavin-5-phosphate; Flavin mononucleotide	0	238
C00062	C6H14N4O2	L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg	0	94
C00063	C9H16N3O14P3	CTP; Cytidine 5'-triphosphate; Cytidine triphosphate	0	248
C00064	C5H10N2O3	L-Glutamine; L-2-Aminoglutaramic acid	0	78
C00065	C3H7NO3	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine	0	56
C00067	CH2O	Formaldehyde; Methanal; Oxomethane; Oxomethylene; Methylene oxide; Formalin	0	16
C00068	C12H19N4O7P2S	Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP	0	220
C00072	C6H8O6	Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C	0	92
C00073	C5H11NO2S	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	0	80
C00074	C3H5O6P	Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP	0	86
C00075	C9H15N2O15P3	UTP; Uridine 5'-triphosphate; Uridine triphosphate	0	248
C00077	C5H12N2O2	L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate	0	72
C00078	C11H12N2O2	L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid	0	108
C00079	C9H11NO2	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid	0	88
C00080	H	H+; Hydron	0	0
C00081	C10H15N4O14P3	ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate	0	260
C00082	C9H11NO3	L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine	0	96
C00083	C24H38N7O19P3S	Malonyl-CoA; Malonyl coenzyme A	0	444
C00084	C2H4O	Acetaldehyde; Ethanal	0	24
C00085	C6H13O9P	D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester	0	136
C00086	CH4N2O	Urea; Carbamide	0	32
C00087	S	Sulfur; S; Elemental sulfur	0	16
C00088	HNO2	Nitrite	0	24
C00089	C12H22O11	Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside	0	182
C00090	C6H6O2	Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol	0	58
C00091	C25H40N7O19P3S	Succinyl-CoA; Succinyl coenzyme A	0	452
C00092	C6H13O9P	D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester	0	136
C00093	C3H9O6P	sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate	0	90
C00094	H2SO3	Sulfite; Sulfurous acid	0	42
C00095	C6H12O6	D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose	0	96
C00096	C16H25N5O16P2	GDP-mannose; GDP-D-mannose; GDP-alpha-D-mannose	0	314
C00097	C3H7NO2S	L-Cysteine; L-2-Amino-3-mercaptopropionic acid	0	64
C00099	C3H7NO2	beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate	0	48
C00100	C24H40N7O17P3S	Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A	0	430
C00101	C19H23N7O6	Tetrahydrofolate; 5,6,7,8-Tetrahydrofolate; Tetrahydrofolic acid; THF; (6S)-Tetrahydrofolate; (6S)-Tetrahydrofolic acid; (6S)-THFA	0	234
C00103	C6H13O9P	D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	0	136
C00104	C10H14N4O11P2	IDP; Inosine 5'-diphosphate; Inosine diphosphate	0	220
C00105	C9H13N2O9P	UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid	0	168
C00106	C4H4N2O2	Uracil	0	58
C00108	C7H7NO2	Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate	0	72
C00109	C4H6O3	2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate	0	54
C00111	C3H7O6P	Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate	0	88
C00112	C9H15N3O11P2	CDP; Cytidine 5'-diphosphate; Cytidine diphosphate	0	208
