ECNumber	PfamDomain	ConfidenceScore	Type	InInterPro
2.6.99.2	PF03740	1	GOLD	Yes
3.5.4.27	PF02289	1	GOLD	Yes
3.5.4.29	PF05165	1	GOLD	Yes
2.1.1.242	PF04445	1	GOLD	Yes
2.7.1.161	PF01982	1	GOLD	Yes
2.4.99.17	PF02547	0.9999643333	GOLD	Yes
2.1.1.177	PF02590	0.9999556667	GOLD	Yes
2.3.1.109	PF04958	0.9998682222	GOLD	Yes
4.4.1.21	PF02664	0.9998581111	GOLD	Yes
1.13.11.5	PF04209	0.9998508333	GOLD	Yes
3.4.19.3	PF01470	0.9998408333	GOLD	Yes
2.5.1.72	PF02445	0.9998297222	GOLD	Yes
4.1.99.18	PF06463	0.9994981667	GOLD	Yes
4.2.1.49	PF01175	0.9994831667	GOLD	Yes
4.1.1.49	PF01293	0.9994385556	GOLD	Yes
1.13.11.11	PF03301	0.9994057778	GOLD	Yes
2.5.1.61	PF01379	0.9993303333	GOLD	Yes
2.7.11.5	PF06315	0.9992572778	GOLD	Yes
1.13.11.54	PF03079	0.9991788889	GOLD	Yes
2.3.1.89	PF08503	0.9990662778	GOLD	Yes
2.2.1.2	PF00923	0.998981	GOLD	Yes
4.2.1.24	PF00490	0.9989137222	GOLD	Yes
2.7.1.50	PF02110	0.998855	GOLD	Yes
3.4.24.78	PF03418	0.9987803889	GOLD	Yes
5.1.3.9	PF04131	0.9986565	GOLD	Yes
2.4.1.1	PF00343	0.9985909444	GOLD	Yes
6.3.4.5	PF00764	0.9980658333	GOLD	Yes
4.6.1.12	PF02542	0.9979717778	GOLD	Yes
4.99.1.2	PF03243	0.9978760556	GOLD	Yes
3.5.3.23	PF04996	0.9977267222	GOLD	Yes
6.3.4.4	PF00709	0.9977001667	GOLD	Yes
4.1.1.32	PF00821	0.9976826667	GOLD	Yes
6.3.1.1	PF03590	0.9976813333	GOLD	Yes
2.3.2.6	PF03588	0.9975499444	GOLD	Yes
2.3.1.46	PF04204	0.997544	GOLD	Yes
2.1.2.11	PF02548	0.9975302778	GOLD	Yes
1.1.1.86	PF01450	0.9974311111	GOLD	Yes
1.1.1.262	PF04166	0.9971667778	GOLD	Yes
2.1.1.77	PF01135	0.9970736667	GOLD	Yes
1.4.1.21	PF01958	0.9969786111	GOLD	Yes
3.6.1.26	PF02611	0.9969233333	GOLD	Yes
6.3.4.23	PF06973	0.9968227222	GOLD	Yes
6.3.4.23	PF06849	0.9968227222	GOLD	Yes
6.3.4.20	PF06508	0.9967477222	GOLD	Yes
2.4.2.17	PF01634	0.9965271111	GOLD	Yes
