ec,cath_code_rule,rn
1.1.1.1,1.20_3.40,R07105
1.1.1.1,1.20_3.40,R00623
1.1.1.1,1.20_3.40,R00754
1.1.1.1,1.20_3.40,R02124
1.1.1.1,1.20_3.40,R02878
1.1.1.1,1.20_3.40,R04805
1.1.1.1,1.20_3.40,R04880
1.1.1.1,1.20_3.40,R05233
1.1.1.1,1.20_3.40,R05234
1.1.1.1,1.20_3.40,R06917
1.1.1.1,1.20_3.40,R06927
1.1.1.1,1.20_3.40,R08281
1.1.1.1,1.20_3.40,R08306
1.1.1.1,1.20_3.40,R08557
1.1.1.1,1.20_3.40,R08558
1.1.1.1,1.20_3.40,R10783
1.1.1.1,1.20_3.40,R00624
1.1.1.1,1.20_3.40,R08310
1.1.1.1,3.40,R07105
1.1.1.1,3.40,R00623
1.1.1.1,3.40,R00754
1.1.1.1,3.40,R02124
1.1.1.1,3.40,R02878
1.1.1.1,3.40,R04805
1.1.1.1,3.40,R04880
1.1.1.1,3.40,R05233
1.1.1.1,3.40,R05234
1.1.1.1,3.40,R06917
1.1.1.1,3.40,R06927
1.1.1.1,3.40,R08281
1.1.1.1,3.40,R08306
1.1.1.1,3.40,R08557
1.1.1.1,3.40,R08558
1.1.1.1,3.40,R10783
1.1.1.1,3.40,R00624
1.1.1.1,3.40,R08310
1.1.1.1,3.40_3.90,R07105
1.1.1.1,3.40_3.90,R00623
1.1.1.1,3.40_3.90,R00754
1.1.1.1,3.40_3.90,R02124
1.1.1.1,3.40_3.90,R02878
1.1.1.1,3.40_3.90,R04805
1.1.1.1,3.40_3.90,R04880
1.1.1.1,3.40_3.90,R05233
1.1.1.1,3.40_3.90,R05234
1.1.1.1,3.40_3.90,R06917
1.1.1.1,3.40_3.90,R06927
1.1.1.1,3.40_3.90,R08281
1.1.1.1,3.40_3.90,R08306
1.1.1.1,3.40_3.90,R08557
1.1.1.1,3.40_3.90,R08558
1.1.1.1,3.40_3.90,R10783
1.1.1.1,3.40_3.90,R00624
1.1.1.1,3.40_3.90,R08310
1.1.1.1,3.90,R07105
1.1.1.1,3.90,R00623
1.1.1.1,3.90,R00754
1.1.1.1,3.90,R02124
1.1.1.1,3.90,R02878
1.1.1.1,3.90,R04805
1.1.1.1,3.90,R04880
1.1.1.1,3.90,R05233
1.1.1.1,3.90,R05234
1.1.1.1,3.90,R06917
1.1.1.1,3.90,R06927
1.1.1.1,3.90,R08281
1.1.1.1,3.90,R08306
1.1.1.1,3.90,R08557
1.1.1.1,3.90,R08558
1.1.1.1,3.90,R10783
1.1.1.1,3.90,R00624
1.1.1.1,3.90,R08310
1.1.1.10,3.40,R01904
1.1.1.100,1.10,R10116
1.1.1.100,1.10,R10120
1.1.1.100,1.10,R02767
1.1.1.100,1.10,R04533
1.1.1.100,1.10,R04534
1.1.1.100,1.10,R04536
1.1.1.100,1.10,R04543
1.1.1.100,1.10,R04566
1.1.1.100,1.10,R04953
1.1.1.100,1.10,R04964
1.1.1.100,1.10,R07763
1.1.1.100,1.10_3.30_3.40,R10116
1.1.1.100,1.10_3.30_3.40,R10120
1.1.1.100,1.10_3.30_3.40,R02767
1.1.1.100,1.10_3.30_3.40,R04533
1.1.1.100,1.10_3.30_3.40,R04534
1.1.1.100,1.10_3.30_3.40,R04536
1.1.1.100,1.10_3.30_3.40,R04543
1.1.1.100,1.10_3.30_3.40,R04566
1.1.1.100,1.10_3.30_3.40,R04953
1.1.1.100,1.10_3.30_3.40,R04964
1.1.1.100,1.10_3.30_3.40,R07763
1.1.1.100,1.10_3.40,R10116
1.1.1.100,1.10_3.40,R10120
1.1.1.100,1.10_3.40,R02767
1.1.1.100,1.10_3.40,R04533
1.1.1.100,1.10_3.40,R04534
1.1.1.100,1.10_3.40,R04536
1.1.1.100,1.10_3.40,R04543
1.1.1.100,1.10_3.40,R04566
1.1.1.100,1.10_3.40,R04953
1.1.1.100,1.10_3.40,R04964
1.1.1.100,1.10_3.40,R07763
1.1.1.100,3.10_3.30_3.40_3.90,R10116
1.1.1.100,3.10_3.30_3.40_3.90,R10120
1.1.1.100,3.10_3.30_3.40_3.90,R02767
1.1.1.100,3.10_3.30_3.40_3.90,R04533
1.1.1.100,3.10_3.30_3.40_3.90,R04534
1.1.1.100,3.10_3.30_3.40_3.90,R04536
1.1.1.100,3.10_3.30_3.40_3.90,R04543
1.1.1.100,3.10_3.30_3.40_3.90,R04566
1.1.1.100,3.10_3.30_3.40_3.90,R04953
1.1.1.100,3.10_3.30_3.40_3.90,R04964
1.1.1.100,3.10_3.30_3.40_3.90,R07763
1.1.1.100,3.30_3.40,R10116
1.1.1.100,3.30_3.40,R10120
1.1.1.100,3.30_3.40,R02767
1.1.1.100,3.30_3.40,R04533
1.1.1.100,3.30_3.40,R04534
1.1.1.100,3.30_3.40,R04536
1.1.1.100,3.30_3.40,R04543
1.1.1.100,3.30_3.40,R04566
1.1.1.100,3.30_3.40,R04953
1.1.1.100,3.30_3.40,R04964
1.1.1.100,3.30_3.40,R07763
1.1.1.100,3.30_3.40_3.90_6.10,R10116
1.1.1.100,3.30_3.40_3.90_6.10,R10120
1.1.1.100,3.30_3.40_3.90_6.10,R02767
1.1.1.100,3.30_3.40_3.90_6.10,R04533
1.1.1.100,3.30_3.40_3.90_6.10,R04534
1.1.1.100,3.30_3.40_3.90_6.10,R04536
1.1.1.100,3.30_3.40_3.90_6.10,R04543
1.1.1.100,3.30_3.40_3.90_6.10,R04566
1.1.1.100,3.30_3.40_3.90_6.10,R04953
1.1.1.100,3.30_3.40_3.90_6.10,R04964
1.1.1.100,3.30_3.40_3.90_6.10,R07763
1.1.1.100,3.40,R10116
1.1.1.100,3.40,R10120
1.1.1.100,3.40,R02767
1.1.1.100,3.40,R04533
1.1.1.100,3.40,R04534
1.1.1.100,3.40,R04536
1.1.1.100,3.40,R04543
1.1.1.100,3.40,R04566
1.1.1.100,3.40,R04953
1.1.1.100,3.40,R04964
1.1.1.100,3.40,R07763
1.1.1.100,3.40_3.90,R10116
1.1.1.100,3.40_3.90,R10120
1.1.1.100,3.40_3.90,R02767
1.1.1.100,3.40_3.90,R04533
1.1.1.100,3.40_3.90,R04534
1.1.1.100,3.40_3.90,R04536
1.1.1.100,3.40_3.90,R04543
1.1.1.100,3.40_3.90,R04566
1.1.1.100,3.40_3.90,R04953
1.1.1.100,3.40_3.90,R04964
1.1.1.100,3.40_3.90,R07763
1.1.1.100,3.90,R10116
1.1.1.100,3.90,R10120
1.1.1.100,3.90,R02767
1.1.1.100,3.90,R04533
1.1.1.100,3.90,R04534
1.1.1.100,3.90,R04536
1.1.1.100,3.90,R04543
1.1.1.100,3.90,R04566
1.1.1.100,3.90,R04953
1.1.1.100,3.90,R04964
1.1.1.100,3.90,R07763
1.1.1.103,3.40,R01465
1.1.1.103,3.40_3.90,R01465
1.1.1.107,3.40,R01707
1.1.1.112,3.20,R03582
1.1.1.112,3.20,R03583
1.1.1.117,3.20,R01574
1.1.1.117,3.20,R01575
1.1.1.118,3.40,R00300
1.1.1.12,3.40_3.90,R01903
1.1.1.120,3.30_3.40,R01097
1.1.1.120,3.30_3.40,R01096
1.1.1.120,3.40_3.90,R01097
1.1.1.120,3.40_3.90,R01096
1.1.1.125,3.40,R01542
1.1.1.125,3.40,R04049
1.1.1.126,3.40,R01543
1.1.1.130,1.10_3.30,R02637
1.1.1.130,1.10_3.30,R02639
1.1.1.132,1.20_3.40,R00880
1.1.1.133,3.40,R02777
1.1.1.133,3.40_3.90,R02777
1.1.1.138,3.40,R00870
1.1.1.14,3.40,R00875
1.1.1.14,3.40,R01896
1.1.1.14,3.40,R07145
1.1.1.14,3.40_3.90,R00875
1.1.1.14,3.40_3.90,R01896
1.1.1.14,3.40_3.90,R07145
1.1.1.140,3.40,R05607
1.1.1.140,3.40,R07133
1.1.1.141,3.40,R02683
1.1.1.141,3.40,R02580
1.1.1.145,3.40,R01837
1.1.1.145,3.40,R02216
1.1.1.145,3.40,R02499
1.1.1.145,3.40,R02840
1.1.1.145,3.40,R03327
1.1.1.145,3.40,R04163
1.1.1.145,3.40,R04678
1.1.1.145,3.40,R04849
1.1.1.145,3.40,R09920
1.1.1.145,3.40,R03176
1.1.1.146,3.40,R09420
1.1.1.146,3.40,R02836
1.1.1.146,3.40,R03203
1.1.1.146,3.40,R03848
1.1.1.146,3.40,R04758
1.1.1.146,3.40,R04840
1.1.1.149,3.20,R02207
1.1.1.149,3.20,R02209
1.1.1.149,3.20,R08958
1.1.1.149,3.20,R08959
1.1.1.149,3.20,R03325
1.1.1.153,3.40,R01813
1.1.1.153,3.40,R11762
1.1.1.153,3.40,R11763
1.1.1.153,3.40,R02975
1.1.1.153,3.40,R08208
1.1.1.157,1.10_3.40,R05576
1.1.1.157,1.10_3.40,R06941
1.1.1.157,1.10_3.40,R01976
1.1.1.159,3.40,R02792
1.1.1.16,3.40,R02928
1.1.1.168,3.20,R03155
1.1.1.169,1.10,R02472
1.1.1.169,1.10_3.40,R02472
1.1.1.17,1.10_3.40,R00758
1.1.1.17,1.10_3.40,R02703
1.1.1.178,3.40,R04203
1.1.1.179,3.30_3.40,R01430
1.1.1.18,3.30_3.40,R01183
1.1.1.184,3.40,R02581
1.1.1.184,3.40,R03557
1.1.1.184,3.40,R04285
