2007_275_3016_7577 4.1.1.19,4.1.1.18,4.1.1.17
108_235 3.2.1.17
1134_5104 6.1.1.7
222_7524 1.2.1.91,3.3.2.12
2003_278_604 1.4.3.16,1.3.5.1,1.8.99.2,1.3.5.4,1.3.-.-
4021 4.2.1.79,4.2.1.3
4028 1.11.1.-
242_69 7.1.2.2,3.1.-.-
2003_4294 2.1.1.187
2002_296 1.17.7.3
1075_2004_219 3.4.22.-
304_314 6.1.1.27,6.1.1.20
5_7579 3.4.14.5,3.4.-.-,3.4.19.1,3.4.21.26,3.4.21.83,3.4.14.12
10_108_219 3.4.22.53,3.4.22.52
7516 2.7.8.34,2.7.7.83,2.7.8.-,2.7.7.74,2.4.1.175,2.7.7.9,2.4.1.269,3.5.1.44,2.4.1.266,2.4.1.133,2.4.1.87,2.4.1.135,2.4.-.-,2.4.1.222,2.4.1.223,2.7.7.33,2.7.7.13,2.7.7.38,2.7.7.77,2.4.1.-,2.4.1.143,2.4.1.37,2.4.1.186,2.4.1.38,2.7.7.99,2.4.1.90,2.4.1.275,2.4.1.101,2.7.7.23,2.4.1.22,2.4.1.226,2.7.7.24,2.4.2.39,2.4.1.217,2.7.7.40,2.4.2.62,2.7.7.43,2.7.7.62,2.4.1.41,2.7.7.60,2.4.1.44,2.7.7.68,2.4.1.40
7515 3.1.6.-,2.7.-.-,3.1.3.-,3.1.6.13,3.1.6.12,3.1.3.27,3.1.6.8,2.7.8.-,3.10.1.1,3.2.1.40,3.1.4.-,3.1.3.1,3.1.3.2,3.1.-.-,3.1.6.4,3.1.6.6,3.1.6.1,3.1.6.2
7514 1.-.-.-,1.18.1.2
7513 2.7.8.28
