2007_275_3016_7577 4.1.1.17|4.1.1.18|4.1.1.19
108_235 3.2.1.17
4315_632 2.7.7.48|3.4.19.12|3.4.22.69|3.6.4.13
172_2003_2007 6.2.1.5
1134_5104 6.1.1.7
222_7524 1.2.1.91|3.3.2.12
PDBChainNotFound 1.-.-.-|1.1.1.-|1.1.1.1|1.1.1.100|1.1.1.112|1.1.1.188|1.1.1.205|1.1.1.21|1.1.1.239|1.1.1.25|1.1.1.27|1.1.1.271|1.1.1.28|1.1.1.30|1.1.1.300|1.1.1.343|1.1.1.357|1.1.1.37|1.1.1.372|1.1.1.38|1.1.1.399|1.1.1.42|1.1.1.54|1.1.1.64|1.1.1.85|1.1.1.95|1.1.3.7|1.10.3.9|1.11.1.-|1.11.1.24|1.11.1.25|1.11.1.27|1.11.1.6|1.11.1.7|1.11.2.2|1.12.2.1|1.12.7.2|1.12.99.6|1.13.11.20|1.13.11.27|1.13.11.54|1.13.12.5|1.14.-.-|1.14.11.-|1.14.11.33|1.14.11.41|1.14.11.51|1.14.11.66|1.14.11.67|1.14.11.68|1.14.11.69|1.14.13.11|1.14.13.196|1.14.13.225|1.14.13.239|1.14.13.25|1.14.13.39|1.14.14.1|1.14.14.158|1.14.14.17|1.14.14.51|1.14.14.52|1.14.14.53|1.14.15.14|1.14.15.28|1.14.16.2|1.14.17.1|1.14.99.66|1.15.1.1|1.16.-.-|1.16.3.1|1.17.1.9|1.17.4.1|1.17.4.4|1.18.6.1|1.2.1.-|1.2.1.12|1.2.1.3|1.2.1.31|1.2.1.36|1.2.1.8|1.2.1.80|1.2.4.2|1.2.7.4|1.2.99.2|1.21.3.1|1.3.1.20|1.3.1.22|1.3.1.9|1.3.2.3|1.3.5.2|1.3.7.7|1.3.8.1|1.4.1.1|1.4.3.11|1.4.3.14|1.5.1.2|1.5.1.3|1.5.3.-|1.5.99.12|1.6.2.4|1.6.3.-|1.6.3.1|1.6.5.2|1.6.99.3|1.7.2.1|1.7.3.3|1.7.99.1|1.8.-.-|1.8.1.12|1.8.1.7|1.8.4.11|1.8.4.12|1.8.5.8|1.8.7.2|1.9.6.1|1.97.1.12|2.1.1.-|2.1.1.167|2.1.1.183|2.1.1.213|2.1.1.228|2.1.1.260|2.1.1.268|2.1.1.296|2.1.1.319|2.1.1.320|2.1.1.346|2.1.1.348|2.1.1.354|2.1.1.356|2.1.1.359|2.1.1.360|2.1.1.37|2.1.1.43|2.1.1.45|2.1.1.56|2.1.1.57|2.1.1.63|2.1.1.72|2.1.3.2|2.2.1.6|2.3.1.-|2.3.1.12|2.3.1.122|2.3.1.157|2.3.1.169|2.3.1.180|2.3.1.199|2.3.1.20|2.3.1.254|2.3.1.256|2.3.1.26|2.3.1.286|2.3.1.30|2.3.1.37|2.3.1.38|2.3.1.39|2.3.1.41|2.3.1.48|2.3.1.51|2.3.1.57|2.3.1.6|2.3.1.76|2.3.1.81|2.3.1.86|2.3.1.87|2.3.1.9|2.3.1.94|2.3.2.-|2.3.2.15|2.3.2.16|2.3.2.2|2.3.2.23|2.3.2.24|2.3.2.26|2.3.2.27|2.3.2.31|2.3.2.32|2.3.2.34|2.3.3.1|2.3.3.14|2.3.3.16|2.4.-.-|2.4.1.-|2.4.1.1|2.4.1.102|2.4.1.109|2.4.1.12|2.4.1.129|2.4.1.149|2.4.1.155|2.4.1.16|2.4.1.186|2.4.1.241|2.4.1.267|2.4.1.337|2.4.1.5|2.4.1.68|2.4.2.-|2.4.2.10|2.4.2.12|2.4.2.26|2.4.2.28|2.4.2.29|2.4.2.30|2.4.2.34|2.4.99.-|2.4.99.12|2.4.99.18|2.5.1.1|2.5.1.10|2.5.1.120|2.5.1.18|2.5.1.19|2.5.1.21|2.5.1.47|2.5.1.6|2.5.1.65|2.5.1.87|2.5.1.88|2.6.1.-|2.6.1.42|2.6.1.44|2.6.1.45|2.6.1.51|2.7.-.-|2.7.1.-|2.7.1.1|2.7.1.107|2.7.1.11|2.7.1.127|2.7.1.138|2.7.1.150|2.7.1.153|2.7.1.172|2.7.1.230|2.7.1.3|2.7.1.32|2.7.1.33|2.7.1.35|2.7.1.40|2.7.1.67|2.7.1.68|2.7.1.69|2.7.1.71|2.7.1.73|2.7.1.82|2.7.1.94|2.7.10.1|2.7.10.2|2.7.11.1|2.7.11.10|2.7.11.11|2.7.11.12|2.7.11.13|2.7.11.14|2.7.11.15|2.7.11.17|2.7.11.18|2.7.11.2|2.7.11.20|2.7.11.21|2.7.11.22|2.7.11.23|2.7.11.24|2.7.11.25|2.7.11.26|2.7.11.30|2.7.12.1|2.7.12.2|2.7.13.3|2.7.4.10|2.7.4.6|2.7.6.1|2.7.6.3|2.7.6.5|2.7.7.-|2.7.7.15|2.7.7.19|2.7.7.23|2.7.7.31|2.7.7.48|2.7.7.49|2.7.7.50|2.7.7.52|2.7.7.58|2.7.7.6|2.7.7.60|2.7.7.7|2.7.7.86|2.7.7.88|2.7.8.15|2.7.8.28|2.8.3.5|2.8.4.1|3.-.-.-|3.1.-.-|3.1.1.-|3.1.1.101|3.1.1.102|3.1.1.29|3.1.1.3|3.1.1.32|3.1.1.34|3.1.1.4|3.1.1.7|3.1.1.74|3.1.1.8|3.1.1.98|3.1.11.1|3.1.11.2|3.1.13.-|3.1.13.2|3.1.13.4|3.1.2.12|3.1.2.14|3.1.2.4|3.1.21.-|3.1.21.1|3.1.26.-|3.1.26.12|3.1.26.13|3.1.26.3|3.1.26.4|3.1.26.5|3.1.26.8|3.1.26.n2|3.1.27.-|3.1.3.-|3.1.3.1|3.1.3.11|3.1.3.16|3.1.3.2|3.1.3.25|3.1.3.33|3.1.3.36|3.1.3.48|3.1.3.5|3.1.3.56|3.1.3.57|3.1.3.67|3.1.3.76|3.1.3.84|3.1.3.86|3.1.3.94|3.1.31.1|3.1.4.-|3.1.4.1|3.1.4.11|3.1.4.12|3.1.4.17|3.1.4.35|3.1.4.39|3.1.4.4|3.1.4.53|3.1.5.-|3.1.6.1|3.1.6.8|3.12.1.-|3.2.1.-|3.2.1.1|3.2.1.130|3.2.1.14|3.2.1.143|3.2.1.145|3.2.1.166|3.2.1.169|3.2.1.17|3.2.1.18|3.2.1.187|3.2.1.20|3.2.1.23|3.2.1.24|3.2.1.37|3.2.1.4|3.2.1.52|3.2.1.8|3.2.1.86|3.2.1.96|3.2.2.-|3.2.2.22|3.2.2.23|3.2.2.27|3.2.2.6|3.3.2.10|3.3.2.3|3.4.-.-|3.4.11.18|3.4.11.2|3.4.11.22|3.4.11.3|3.4.13.9|3.4.14.-|3.4.14.5|3.4.15.1|3.4.16.4|3.4.16.5|3.4.16.6|3.4.17.13|3.4.17.17|3.4.17.18|3.4.17.2|3.4.17.23|3.4.19.-|3.4.19.12|3.4.19.13|3.4.19.14|3.4.19.5|3.4.21.-|3.4.21.1|3.4.21.10|3.4.21.105|3.4.21.109|3.4.21.110|3.4.21.113|3.4.21.35|3.4.21.4|3.4.21.5|3.4.21.53|3.4.21.6|3.4.21.64|3.4.21.68|3.4.21.69|3.4.21.7|3.4.21.73|3.4.21.75|3.4.21.9|3.4.21.90|3.4.21.91|3.4.21.92|3.4.21.93|3.4.21.98|3.4.22.-|3.4.22.1|3.4.22.10|3.4.22.15|3.4.22.28|3.4.22.29|3.4.22.31|3.4.22.34|3.4.22.36|3.4.22.46|3.4.22.49|3.4.22.51|3.4.22.55|3.4.22.56|3.4.22.59|3.4.22.60|3.4.22.61|3.4.22.62|3.4.22.66|3.4.22.68|3.4.22.69|3.4.23.-|3.4.23.1|3.4.23.15|3.4.23.16|3.4.23.19|3.4.23.3|3.4.23.45|3.4.23.46|3.4.23.5|3.4.24.-|3.4.24.11|3.4.24.27|3.4.24.39|3.4.24.56|3.4.24.69|3.4.24.75|3.4.24.80|3.5.1.-|3.5.1.1|3.5.1.108|3.5.1.11|3.5.1.121|3.5.1.14|3.5.1.2|3.5.1.26|3.5.1.28|3.5.1.38|3.5.1.56|3.5.1.88|3.5.1.93|3.5.1.97|3.5.1.98|3.5.2.3|3.5.2.6|3.5.3.15|3.5.4.33|3.5.4.35|3.5.4.6|3.6.-.-|3.6.1.-|3.6.1.1|3.6.1.15|3.6.1.23|3.6.1.3|3.6.1.34|3.6.1.55|3.6.1.56|3.6.1.58|3.6.1.6|3.6.1.61|3.6.1.62|3.6.1.69|3.6.1.9|3.6.3.-|3.6.3.14|3.6.4.-|3.6.4.12|3.6.4.13|3.6.4.6|3.6.5.-|3.6.5.2|3.6.5.3|3.6.5.n1|3.8.1.1|3.8.1.5|4.-.-.-|4.1.1.11|4.1.1.15|4.1.1.19|4.1.1.2|4.1.1.22|4.1.1.25|4.1.1.31|4.1.1.33|4.1.1.36|4.1.1.39|4.1.1.46|4.1.1.48|4.1.1.50|4.1.1.65|4.1.1.97|4.1.2.11|4.1.2.13|4.1.2.4|4.1.2.41|4.1.3.1|4.1.3.30|4.2.1.1|4.2.1.10|4.2.1.101|4.2.1.11|4.2.1.152|4.2.1.20|4.2.1.22|4.2.1.42|4.2.1.47|4.2.1.49|4.2.1.59|4.2.1.78|4.2.1.79|4.2.3.-|4.2.3.146|4.2.3.3|4.2.3.4|4.2.99.-|4.2.99.18|4.3.99.4|4.4.1.1|4.4.1.5|4.4.1.8|4.6.1.1|4.6.1.18|4.6.1.2|4.6.1.24|5.1.1.11|5.1.1.12|5.1.1.24|5.1.3.13|5.1.3.14|5.1.3.19|5.1.3.2|5.2.1.8|5.3.1.1|5.3.1.5|5.3.1.6|5.3.1.9|5.3.3.1|5.3.3.12|5.3.3.14|5.3.99.2|5.3.99.3|5.4.2.6|5.4.99.15|5.6.1.6|5.6.2.1|5.6.2.2|5.99.1.2|6.-.-.-|6.1.1.-|6.1.1.1|6.1.1.10|6.1.1.11|6.1.1.12|6.1.1.14|6.1.1.15|6.1.1.16|6.1.1.17|6.1.1.20|6.1.1.3|6.1.1.4|6.1.1.5|6.1.1.6|6.2.1.1|6.2.1.17|6.2.1.26|6.2.1.45|6.2.1.64|6.3.1.-|6.3.1.2|6.3.1.5|6.3.2.-|6.3.2.25|6.3.2.5|6.3.2.56|6.3.2.n3|6.3.3.5|6.3.4.14|6.3.4.16|6.3.4.3|6.3.4.5|6.3.5.1|6.4.1.2|6.4.1.3|6.5.1.1|6.5.1.2|6.5.1.3|6.6.1.2|7.1.1.1|7.1.1.2|7.1.1.8|7.1.1.9|7.1.2.1|7.1.2.2|7.2.2.-|7.2.2.10|7.2.2.19|7.2.4.2|7.5.2.-|7.5.2.6|7.6.2.-|7.6.2.1|7.6.2.2|7.6.2.3
4028 1.11.1.-
242_69 3.1.-.-|7.1.2.2
2003_4294 2.1.1.187
2002_296 1.17.7.3
