ec,rule,rn
1.1.1.1,2007_4002,R07105
1.1.1.1,2007_4002,R00623
1.1.1.1,2007_4002,R00754
1.1.1.1,2007_4002,R02124
1.1.1.1,2007_4002,R02878
1.1.1.1,2007_4002,R04805
1.1.1.1,2007_4002,R04880
1.1.1.1,2007_4002,R05233
1.1.1.1,2007_4002,R05234
1.1.1.1,2007_4002,R06917
1.1.1.1,2007_4002,R06927
1.1.1.1,2007_4002,R08281
1.1.1.1,2007_4002,R08306
1.1.1.1,2007_4002,R08557
1.1.1.1,2007_4002,R08558
1.1.1.1,2007_4002,R10783
1.1.1.1,2007_4002,R00624
1.1.1.1,2007_4002,R08310
1.1.1.1,2003_236,R07105
1.1.1.1,2003_236,R00623
1.1.1.1,2003_236,R00754
1.1.1.1,2003_236,R02124
1.1.1.1,2003_236,R02878
1.1.1.1,2003_236,R04805
1.1.1.1,2003_236,R04880
1.1.1.1,2003_236,R05233
1.1.1.1,2003_236,R05234
1.1.1.1,2003_236,R06917
1.1.1.1,2003_236,R06927
1.1.1.1,2003_236,R08281
1.1.1.1,2003_236,R08306
1.1.1.1,2003_236,R08557
1.1.1.1,2003_236,R08558
1.1.1.1,2003_236,R10783
1.1.1.1,2003_236,R00624
1.1.1.1,2003_236,R08310
1.1.1.1,2003,R07105
1.1.1.1,2003,R00623
1.1.1.1,2003,R00754
1.1.1.1,2003,R02124
1.1.1.1,2003,R02878
1.1.1.1,2003,R04805
1.1.1.1,2003,R04880
1.1.1.1,2003,R05233
1.1.1.1,2003,R05234
1.1.1.1,2003,R06917
1.1.1.1,2003,R06927
1.1.1.1,2003,R08281
1.1.1.1,2003,R08306
1.1.1.1,2003,R08557
1.1.1.1,2003,R08558
1.1.1.1,2003,R10783
1.1.1.1,2003,R00624
1.1.1.1,2003,R08310
1.1.1.1,2007_4002_7524,R07105
1.1.1.1,2007_4002_7524,R00623
1.1.1.1,2007_4002_7524,R00754
1.1.1.1,2007_4002_7524,R02124
1.1.1.1,2007_4002_7524,R02878
1.1.1.1,2007_4002_7524,R04805
1.1.1.1,2007_4002_7524,R04880
1.1.1.1,2007_4002_7524,R05233
1.1.1.1,2007_4002_7524,R05234
1.1.1.1,2007_4002_7524,R06917
1.1.1.1,2007_4002_7524,R06927
1.1.1.1,2007_4002_7524,R08281
1.1.1.1,2007_4002_7524,R08306
1.1.1.1,2007_4002_7524,R08557
1.1.1.1,2007_4002_7524,R08558
1.1.1.1,2007_4002_7524,R10783
