,rn,rule
15660,R02828_v1,830
15661,R02828_v2,830
6347,R00251,223_231_2484_1143-7604
7242,R03187,2484_1143-7604
17275,R05453_v1,2484_302_1143-7604
17435,R05735_v1,1144_223_231_2484_302_375_1143-7604
17436,R05735_v1,1144_223_2484_302_375_1143-7604
12597,R00069_v1,217_244_325_179-231
12598,R00069_v2,217_244_325_179-231
13446,R00635_v1,217_244_325_179-231
13447,R00635_v2,217_244_325_179-231
13450,R00638_v1,325_179-231
13451,R00638_v2,325_179-231
14645,R01709_v1,217_244_325_179-231
14646,R01709_v2,217_244_325_179-231
14666,R01720_v1,217_244_325_179-231
14682,R01768_v1,217_244_325_179-231
14683,R01769_v1,217_244_325_179-231
14684,R01769_v2,217_244_325_179-231
15020,R02103_v1,217_244_325_179-231
15021,R02107_v1,217_244_325_179-231
15022,R02107_v2,217_244_325_179-231
15045,R02125_v1,217_244_325_179-231
15046,R02125_v2,217_244_325_179-231
15525,R02657_v1,217_244_325_179-231
15526,R02657_v2,217_244_325_179-231
15539,R02681_v1,217_244_325_179-231
15540,R02681_v1,217_221_244_325_179-231
16311,R03871_v1,217_244_325_179-231
16312,R03871_v2,217_244_325_179-231
16433,R04085_v1,217_244_325_179-231
16434,R04085_v2,217_244_325_179-231
16943,R04904_v1,217_244_325_179-231
16944,R04904_v2,217_244_325_179-231
17222,R05316_v1,217_244_325_179-231
17757,R06957_v1,217_244_325_179-231
18240,R07942_v1,217_244_325_179-231
18241,R07942_v2,217_244_325_179-231
18262,R07977_v1,217_244_325_179-231
18263,R07977_v2,217_244_325_179-231
18264,R07978_v1,217_244_325_179-231
18265,R07978_v2,217_244_325_179-231
18266,R07979_v1,217_244_325_179-231
18267,R07979_v2,217_244_325_179-231
18428,R08408_v1,217_244_325_179-231
18429,R08408_v2,217_244_325_179-231
19359,R10324_v1,217_244_325_179-231
19360,R10324_v1,217_221_244_325_179-231
19361,R10324_v2,217_244_325_179-231
19362,R10324_v2,217_221_244_325_179-231
10261,R09508,205_221_2485_5100_633_7556_3697-4335
13256,R00519_v1,2485_633_3697-4335
17864,R07181_v1,205_221_2485_5100_581_633_7556_3697-4335
17866,R07181_v2,205_221_2485_5100_581_633_7556_3697-4335
20125,R11818_v1,1_1001_2003_205_221_2485_5100_633_3697-4335
6203,R03562,1_150_221_304_7514_4294-66
13630,R00787_v1,101_2003_296_304_4294-66
13631,R00787_v1,2003_296_304_4294-66
13632,R00787_v1,2003_4294-66
13677,R00823_v1,2003_243_244_331_4294-66
13678,R00823_v1,1_221_243_331_7514_4294-66
13679,R00825_v1,2003_243_244_331_4294-66
13680,R00825_v1,1_221_243_331_7514_4294-66
15370,R02550_v1,1_150_221_304_7514_4294-66
16187,R03559_v1,2003_243_244_331_4294-66
17145,R05148_v1,1_221_243_331_7514_4294-66
17208,R05274_v1,331_4294-66
17265,R05426_v1,1_221_243_331_7514_4294-66
17266,R05427_v1,1_221_243_331_7514_4294-66
17332,R05621_v1,1_221_243_331_7514_4294-66
17333,R05622_v1,1_221_243_331_7514_4294-66
17371,R05666_v1,1_150_221_304_7514_4294-66
17437,R05739_v1,4294-66
17438,R05739_v1,331_4294-66
17439,R05739_v2,4294-66
17440,R05739_v2,331_4294-66
17691,R06782_v1,2003_243_244_331_4294-66
17692,R06783_v1,2003_243_244_331_4294-66
17872,R07188_v1,243_331_4294-66
18055,R07409_v1,4294-66
18056,R07409_v1,331_4294-66
18057,R07409_v2,4294-66
18058,R07409_v2,331_4294-66
18165,R07709_v1,1_221_243_331_7514_4294-66
18166,R07710_v1,1_221_243_331_7514_4294-66
18835,R09513_v1,1_221_243_331_7514_4294-66
19486,R10572_v1,187_2007_244_3579_3740_3281-3456-3843-4025-4272
19487,R10572_v1,2007_244_3740_5051_3281-3456-3843-4025-4272
19488,R10572_v1,2007_205_244_3740_5051_3281-3456-3843-4025-4272
19489,R10572_v1,2007_205_244_3579_3740_3281-3456-3843-4025-4272
19490,R10572_v1,187_2007_244_3740_5051_3281-3456-3843-4025-4272
19491,R10572_v1,2007_244_3579_3740_3281-3456-3843-4025-4272
13933,R01047_v1,2002_623-7521
13934,R01047_v2,2002_623-7521
15237,R02376_v1,2002_623-7521
15238,R02376_v2,2002_623-7521
13972,R01090_v1,4020-4045
14121,R01148_v1,4020-4045
14196,R01214_v1,4020-4045
14339,R01344_v1,4020-4045
14515,R01582_v1,4020-4045
15108,R02199_v1,4020-4045
15288,R02459_v1,4020-4045
15665,R02851_v1,4020-4045
15727,R02924_v1,4020-4045
17075,R05053_v1,4020-4045
17307,R05553_v1,4020-4045
18504,R08618_v1,4020-4045
19728,R10991_v1,4020-4045
38,R04559,4953_4952-602
39,R04559,4952-602
1084,R01086,4953_4952-602
1194,R01083,4953_4952-602
1195,R01083,4952-602
3333,R03307,4952-602
3866,R00490,4953_4952-602
4277,R11749,4952-602
13969,R01082_v1,4953_4952-602
593,R03165,2007_1137-7550
595,R03194,2003_4029_4049_1137-7550
596,R03194,2003_1137-7550
598,R03194,2007_1137-7550
599,R03194,2003_4029_1137-7550
601,R03194,1137-7550
621,R03947,2003_4029_4049_1137-7550
623,R03947,2003_4029_1137-7550
625,R03948,1137-7550
2511,R07775,1137-7550
2523,R05810,1137-7550
2527,R07772,2007_1137-7550
2528,R07772,2007_4262_1137-7550
7743,R05809,2007_1137-7550
7744,R05809,2007_4262_1137-7550
7745,R05809,1137-7550
7748,R05813,1137-7550
10533,R03950,2003_4029_4049_1137-7550
10534,R03950,2003_1137-7550
10536,R03950,2007_1137-7550
10537,R03950,2003_4029_1137-7550
10539,R03950,1137-7550
10540,R07237,2003_4029_4049_1137-7550
10541,R07237,2003_1137-7550
10543,R07237,2007_1137-7550
10544,R07237,2003_4029_1137-7550
10546,R07237,1137-7550
10547,R07238,2003_4029_4049_1137-7550
10548,R07238,2003_1137-7550
10550,R07238,2007_1137-7550
10551,R07238,2003_4029_1137-7550
10553,R07238,1137-7550
15694,R02864_v1,2003_2007_4029_1137-7550
15695,R02864_v1,2003_2007_4029_4049_1137-7550
19996,R11580_v1,296_1137-7550
19997,R11580_v1,2007_1137-7550
19998,R11580_v1,2007_4262_1137-7550
19999,R11580_v1,1137-7550
12952,R00275_v1,192-228
12955,R00275_v2,192-228
12958,R00275_v3,192-228
12961,R00275_v4,192-228
13382,R00602_v1,2007_4028-4048
13384,R00602_v1,4028-4048
15532,R02670_v1,2007_4028-4048
15535,R02670_v1,4028-4048
5243,R00510,3623-7563
6314,R00182,3623-7563
16398,R04020_v1,4_3686-830
16399,R04020_v2,4_3686-830
17240,R05379_v1,4_3686-830
17241,R05379_v2,4_3686-830
17321,R05596_v1,4_3686-830
17322,R05596_v2,4_3686-830
17474,R05780_v1,4_3686-830
18202,R07854_v1,4_3686-830
18203,R07854_v2,4_3686-830
14402,R01450_v1,7601-7602
3514,R10837,325_184-7544
3515,R10837,1_325_184-7544
4020,R10838,325_184-7544
4021,R10838,1_325_184-7544
4204,R10836,325_184-7544
4205,R10836,1_325_184-7544
13855,R00985_v1,2007_184-7544
13859,R00986_v1,2007_184-7544
13962,R01073_v1,184-7544
13963,R01073_v1,2007_184-7544
14510,R01570_v1,325_184-7544
14751,R01876_v1,325_184-7544
15157,R02296_v1,325_184-7544
15302,R02484_v1,325_184-7544
3152,R11461,301_2010-590
5525,R11460,301_2010-590
13903,R01011_v1,301_2010-590
13904,R01012_v1,301_322_2010-590
13905,R01012_v1,301_2010-590
13952,R01059_v1,301_2010-590
918,R01512,7532-7533
17668,R06613_v1,842
12647,R00089_v1,64_4035-4036-4054
12651,R00089_v1,4035-4036-4054
12652,R00089_v1,2498_4035-4036-4054
12655,R00089_v2,64_4035-4036-4054
12659,R00089_v2,4035-4036-4054
12660,R00089_v2,2498_4035-4036-4054
12663,R00089_v3,64_4035-4036-4054
12667,R00089_v3,4035-4036-4054
12668,R00089_v3,2498_4035-4036-4054
13134,R00434_v1,64_4035-4036-4054
13138,R00434_v1,4035-4036-4054
13139,R00434_v1,2498_4035-4036-4054
13144,R00434_v2,64_4035-4036-4054
13148,R00434_v2,4035-4036-4054
13149,R00434_v2,2498_4035-4036-4054
13154,R00434_v3,64_4035-4036-4054
13158,R00434_v3,4035-4036-4054
13159,R00434_v3,2498_4035-4036-4054
501,R01221,1_2003_244_304_325_3016-7577
1966,R08170,3016-7577
1987,R04467,3016-7577
2161,R11068,3016-7577
2194,R06631,3016-7577
2715,R12622,3016-7577
3745,R11475,3016-7577
4109,R12055,3016-7577
4429,R08654,3016-7577
5404,R12606,3016-7577
5882,R11291,3016-7577
6933,R02026,3016-7577
7853,R06586,3016-7577
9511,R10064,3016-7577
10013,R12343,3016-7577
12811,R00179_v1,3016-7577
12941,R00258_v1,3016-7577
12943,R00261_v1,3016-7577
13073,R00355_v1,3016-7577
13090,R00369_v1,3016-7577
13092,R00371_v1,3016-7577
13093,R00372_v1,3016-7577
13103,R00397_v1,3016-7577
13178,R00457_v1,3016-7577
13183,R00462_v1,2007_275_3016-7577
13334,R00566_v1,2007_275_3016-7577
13338,R00566_v2,2007_275_3016-7577
13363,R00585_v1,3016-7577
13369,R00588_v1,3016-7577
13459,R00649_v1,2003_3016-7577
13460,R00649_v2,2003_3016-7577
13462,R00651_v1,3016-7577
13463,R00654_v1,3016-7577
13482,R00667_v1,3016-7577
13483,R00668_v1,3016-7577
13489,R00673_v1,3016-7577
13500,R00684_v1,3016-7577
13501,R00685_v1,3016-7577
13509,R00692_v1,3016-7577
13510,R00694_v1,3016-7577
13514,R00699_v1,3016-7577
13548,R00728_v1,3016-7577
13556,R00734_v1,3016-7577
13557,R00736_v1,3016-7577
13569,R00748_v1,3016-7577
13576,R00751_v1,3016-7577
13614,R00782_v1,3016-7577
13616,R00782_v2,3016-7577
13683,R00830_v1,3016-7577
13730,R00863_v1,3016-7577
13745,R00895_v1,3016-7577
13746,R00896_v1,3016-7577
13747,R00897_v1,3016-7577
13767,R00907_v1,3016-7577
13768,R00908_v1,3016-7577
13786,R00945_v1,3016-7577
13860,R00987_v1,3016-7577
13872,R00999_v1,3016-7577
13873,R01001_v1,3016-7577
14135,R01155_v1,3016-7577
14151,R01167_v1,3016-7577
14153,R01167_v2,3016-7577
14197,R01215_v1,3016-7577
14269,R01281_v1,3016-7577
