,!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol)
0,R00002,-589.6273352093428
1,R00004,-17.017337270267333
2,R00005,-82.69938783126241
3,R00006,29.8707204953553
4,R00008,14.123202811448238
5,R00009,-191.89617515212367
6,R00010,-11.454003518444324
7,R00011,72.15636130770918
8,R00012,11.924271137245682
9,R00013,-18.767797923382034
10,R00014,-29.252605497529487
11,R00015,-5.773572829908517
12,R00017,81.48876846943247
13,R00018,-4.872612736915073
14,R00019,19.5963599999833
15,R00021,66.7101466336575
16,R00022,-12.523621376905112
17,R00023,-85.58383165912488
18,R00024,-26.393222917870162
19,R00025,-40.59695039571683
20,R00026,-9.49619231329848
21,R00027,12.127134833699834
22,R00028,-14.230569105651966
23,R00029,-82.26581734907627
24,R00031,-527.3527112951905
25,R00032,-359.63959683982273
26,R00033,-111.75356471338398
27,R00034,975.8057227451612
28,R00036,-102.27124764003082
29,R00038,-12.346703697334817
30,R00039,0.32439104089769444
31,R00041,162.9772492591944
32,R00042,-670.1407284529164
33,R00043,-366.87213255457857
34,R00044,-496.72036652908366
35,R00045,-343.6193152423974
36,R00047,123.01577240246279
37,R00048,-53.666307112040954
38,R00049,-10.902891066859866
39,R00052,82.29845986988198
40,R00053,-59.59551386715356
41,R00054,-59.977592242639844
42,R00055,-423.68817075882407
43,R00056,-81.4886246295972
44,R00057,81.48848078976192
45,R00058,-298.8203380912422
46,R00059,4.794999266541481
47,R00060,-248.69871427364714
48,R00061,-248.69871427364714
49,R00062,0.0064045472881844034
50,R00063,-4.946893221858602
51,R00066,-99.70234404754729
52,R00067,81.4886246295972
53,R00068,-460.22657355749607
54,R00069,166.1816683832766
55,R00070,-489.65874807235343
56,R00072,-168.95545989562183
57,R00073,-81.4888029556871
58,R00074,-987.42782730552
59,R00075,9.862080617744937
60,R00076,33.838267661399186
61,R00077,-179.62571866283562
62,R00078,-48.89617515184847
63,R00080,-673.5172320593219
64,R00081,162.9772492591944
65,R00082,162.9772492591944
66,R00083,-814.7995394923735
67,R00084,-133.0979116535009
68,R00085,-54.535862733222416
69,R00086,-27.36519874790435
70,R00087,-37.51852546295531
71,R00088,-55.64468204824328
72,R00089,3.3499745666719747
73,R00090,-324.3197502219591
74,R00091,-12.373059463363916
75,R00092,203.92357506997337
76,R00093,50.73008170364483
77,R00094,15.555683529060389
78,R00095,-50.02891315424358
79,R00097,0.0
80,R00099,38.694597195640654
81,R00100,-38.694597195640654
82,R00101,-38.694597195640654
83,R00102,-33.254646792600624
84,R00103,-34.56972232507371
85,R00104,-10.051137277741418
86,R00105,-10.181692311742609
87,R00106,-34.987779421462164
88,R00108,-34.987779421462164
89,R00109,-34.987779421462164
90,R00111,46.51729987512658
91,R00112,0.13055503400096313
92,R00113,-324.18919518795815
93,R00114,50.599526669643865
94,R00115,15.42512849505897
95,R00118,-17.314061470163097
96,R00119,-12.911681304487843
97,R00120,-116.8678915407755
98,R00122,-27.170663985318527
99,R00123,-56.968765003525164
100,R00124,0.0
101,R00125,-38.79703248014607
102,R00126,11.431833732241557
103,R00127,-0.1945347625858176
104,R00128,-35.53652299985419
105,R00129,-53.28808212435138
106,R00130,5.346617193919883
107,R00131,-29.11915028850774
108,R00132,41.55878939981713
109,R00134,-14.344881565139303
110,R00135,219.57569848998898
111,R00137,-2.948803137881896
112,R00138,-36.24674950238366
113,R00139,5.898692546344591
114,R00140,-3.9978549593364505
115,R00141,-32.75775344572435
116,R00143,-82.69678375490321
117,R00145,119.33950884810565
118,R00146,115.63269107392716
119,R00148,-39.900199625192954
120,R00149,1.1336340496030033
121,R00150,33.68606779831583
122,R00152,-75.05014877490018
