,!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol)
0,R00004,-17.017337270267333
1,R00005,-82.69938783126241
2,R00006,29.8707204953553
3,R00008,14.123202811448238
4,R00009,-191.89617515212367
5,R00010,-11.454003518444324
6,R00011,72.15636130770918
7,R00012,11.924271137245682
8,R00013,-18.767797923381977
9,R00014,-29.25260549752943
10,R00015,-5.773572829908517
11,R00018,-4.872612736915066
12,R00022,-12.523621376905112
13,R00023,-85.58383165912488
14,R00024,-26.393222917870162
15,R00025,-40.596950395716796
16,R00026,-9.49619231329848
17,R00027,12.127134833699834
18,R00028,-10.931465088110599
19,R00031,-527.3527112951905
20,R00032,-359.63959683982273
21,R00033,-111.75356471338398
22,R00036,-102.27124764003082
23,R00038,-12.346703697334817
24,R00039,0.3243910408978081
25,R00042,-670.1407284529164
26,R00043,-366.87213255457857
27,R00044,-496.7203665290836
28,R00045,-343.6193152423973
29,R00048,-53.666307112040954
30,R00049,-10.902891066859866
31,R00053,-59.59551386715356
32,R00054,-59.977592242639844
33,R00055,-423.688170758824
34,R00058,-298.8203380912422
35,R00059,4.794999266541481
36,R00060,-248.69871427364706
37,R00061,-248.69871427364706
38,R00062,0.0064045472881844034
39,R00063,-4.946893221858545
40,R00066,-99.70234404754729
41,R00068,-460.22657355749595
42,R00069,166.18166838327664
43,R00070,-489.6587480723536
44,R00072,-168.95545989562183
45,R00074,-987.4278273055202
46,R00075,9.862080617744937
47,R00078,-48.89617515184847
48,R00080,-673.5172320593219
49,R00084,-133.0979116535009
50,R00085,-54.535862733222416
51,R00086,-27.36519874790435
52,R00087,-37.51852546295527
53,R00088,-55.644682048243055
54,R00089,3.3499745666719605
55,R00090,-324.3197502219591
56,R00091,-12.373059463363916
57,R00092,203.9235750699734
58,R00093,50.7300817036446
59,R00094,15.555683529060616
60,R00095,-50.02891315424347
61,R00097,-124.28265206355354
62,R00099,38.69459719564111
63,R00102,-33.254646792600624
64,R00103,-34.56972232507371
65,R00104,-10.051137277741418
66,R00105,-10.181692311742609
67,R00107,127.98946983773203
68,R00111,46.51729987512658
69,R00112,0.13055503400096313
70,R00113,-324.18919518795815
71,R00114,50.59952666964364
72,R00115,15.425128495059198
73,R00118,-17.31406147016282
74,R00119,-12.911681304487843
75,R00120,-116.86789154077542
76,R00122,-27.170663985318583
77,R00123,-56.968765003524936
78,R00125,-38.79703248014607
79,R00126,11.431833732241557
80,R00127,-0.1945347625858176
81,R00128,-35.53652299985419
82,R00129,-53.2880821243511
83,R00130,5.346617193919883
84,R00131,-29.11915028850774
85,R00132,41.55878939981713
86,R00134,-14.34488156513936
87,R00137,-2.9488031378815975
88,R00138,-36.24674950238366
89,R00139,5.898692546344591
90,R00140,-3.997854959336678
91,R00141,-32.75775344572435
92,R00143,-82.69678375490314
93,R00149,1.1336340496030033
94,R00150,28.49883279750678
95,R00152,-75.05014877490018
96,R00155,-26.192232896868006
97,R00156,0.20524471245244058
98,R00157,-0.399779475038315
99,R00158,-1.172965851036281
100,R00159,-27.57044346035667
101,R00160,-25.543818878037996
102,R00161,-11.974706584918067
103,R00173,-12.907205114755072
104,R00174,-14.45799363314893
105,R00175,51.31705728193134
106,R00177,88.12680450327525
107,R00178,-22.936718788974574
108,R00179,-54.19186249632577
109,R00180,56.97719292728391
110,R00181,-32.22489451466919
111,R00182,-17.88639813734187
112,R00183,-14.794464588337775
113,R00184,-38.602497717560254
114,R00185,-12.5707341595662
115,R00187,-44.471420460065474
116,R00188,-8.047853107456888
117,R00189,-18.23779079638814
118,R00190,19.321985193139994
119,R00191,-40.86850002962706
120,R00192,34.739552856904226
121,R00193,-22.832933621630445
122,R00194,-16.349083157033647
123,R00195,1.6321190385599067
124,R00199,0.4126593729876049
125,R00200,27.583323358306416
126,R00203,-30.91456137448266
127,R00205,-31.04511640848385
128,R00206,17.429996643255095
129,R00207,-157.56894123234028
130,R00208,-54.94852210621052
131,R00209,-34.02434772279116
132,R00210,-34.15490275679167
133,R00211,-166.44792279262637
134,R00212,19.81002119165261
135,R00213,-385.1218117433319
136,R00214,12.307858917747083
137,R00215,20.21109595299295
138,R00216,12.177303883746347
139,R00217,-17.25035224767778
140,R00218,118.43899377141187
141,R00219,23.001655721757558
142,R00220,-30.21048501902139
143,R00221,-28.797490333474386
144,R00223,-30.21048501902139
145,R00224,-16.40147301005517
146,R00226,29.8707204953553
147,R00227,-32.11585483370369
148,R00228,-17.622874712735438
149,R00229,4.750656085798937
150,R00230,8.878981560285837
151,R00233,-15.35848703440729
152,R00235,-5.402670629252043
153,R00236,-1183.0578742067064
