,ec,cofactor,rn
0,1.1.1.267,mn,R05688
1,1.1.1.286,mn,R00709
2,1.1.1.286,mn,R01934
3,1.1.1.286,mn,R01936
4,1.1.1.286,mn,R04862
5,1.1.1.41,mn,R00709
6,1.1.1.42,mn,R00267
7,1.1.1.42,mn,R00268
8,1.1.1.42,mn,R01899
9,1.1.1.84,mn,R01211
10,1.1.1.93,mn,R00215
11,1.1.1.93,mn,R01751
12,1.1.1.93,mn,R02545
13,1.1.1.93,mn,R06180
14,1.1.3.18,fe,R02277
15,1.1.3.19,mn,R02673
16,1.1.5.6,fes_4Fe_4S,R09494
17,1.1.98.4,fe,R10572
18,1.1.98.4,fes,R10572
19,1.1.99.18,fe,R01442
20,1.1.99.18,fe,R01443
21,1.1.99.18,fe,R02365
22,1.1.99.18,fe,R06244
23,1.1.99.18,fe,R06246
24,1.1.99.18,fe,R06247
25,1.1.99.30,fes_4Fe_4S,R07155
26,1.1.99.33,fes_4Fe_4S,R09481
27,1.10.2.2,fe,R02161
28,1.10.3.11,fe,R09504
29,1.10.3.4,mn,R00074
30,1.10.3.4,mn,R08762
31,1.10.3.4,mn,R08763
32,1.10.3.9,fe,R09503
33,1.10.9.1,fes_2Fe_2S,R03817
34,1.10.9.1,fes_2Fe_2S,R08409
35,1.11.1.14,fe,R04461
36,1.11.1.23,fe,R08863
37,1.11.1.6,mn,R00009
38,1.11.1.6,mn,R00602
39,1.11.1.6,mn,R02670
40,1.11.1.7,fe,R00602
41,1.11.1.7,fe,R02596
42,1.11.1.7,fe,R03532
43,1.11.1.7,fe,R03919
44,1.11.1.7,fe,R04007
45,1.11.1.7,fe,R07443
46,1.12.1.2,fe,R00700
47,1.12.1.2,fes,R00700
48,1.12.1.3,fe,R07181
49,1.12.1.3,fe,R10390
50,1.12.1.3,fes,R07181
51,1.12.1.3,fes,R10390
52,1.12.1.4,fe,R09508
53,1.12.1.4,fes_FeFe,R09508
54,1.12.1.4,fes,R09508
55,1.12.1.5,fe,R00700
56,1.12.1.5,fe,R07181
57,1.12.1.5,fe,R10390
58,1.12.1.5,fes,R00700
59,1.12.1.5,fes,R07181
60,1.12.1.5,fes,R10390
