,rn
0,R00001
1,R00002
2,R00004
3,R00005
4,R00005
6,R00008
7,R00009
8,R00009
10,R00011
11,R00012
12,R00013
15,R00014
16,R00015
17,R00017
18,R00018
19,R00019
20,R00021
22,R00023
23,R00024
24,R00025
27,R00027
30,R00029
31,R00031
32,R00031
33,R00032
34,R00032
35,R00033
36,R00034
37,R00036
38,R00038
39,R00039
40,R00041
41,R00042
42,R00043
43,R00044
44,R00045
45,R00045
47,R00049
48,R00052
51,R00055
52,R00056
53,R00056
55,R00058
56,R00058
57,R00059
58,R00060
59,R00061
60,R00062
61,R00063
62,R00066
63,R00067
64,R00068
65,R00069
66,R00072
67,R00073
68,R00074
69,R00075
71,R00077
72,R00078
73,R00080
74,R00080
75,R00081
77,R00082
79,R00083
80,R00084
81,R00085
82,R00086
83,R00086
84,R00086
85,R00086
86,R00086
87,R00086
88,R00086
89,R00086
90,R00086
91,R00086
92,R00086
93,R00086
94,R00086
95,R00086
96,R00086
97,R00086
98,R00086
99,R00086
100,R00086
101,R00086
102,R00086
103,R00086
104,R00086
105,R00086
106,R00086
107,R00086
108,R00086
109,R00086
110,R00086
111,R00086
112,R00086
113,R00086
114,R00086
115,R00086
116,R00086
117,R00086
118,R00086
119,R00086
120,R00086
121,R00086
122,R00086
123,R00086
124,R00086
125,R00086
126,R00086
127,R00086
128,R00086
129,R00086
130,R00086
131,R00086
132,R00086
133,R00086
134,R00086
135,R00086
136,R00086
137,R00086
151,R00087
152,R00088
153,R00089
154,R00090
155,R00092
156,R00093
157,R00093
158,R00094
159,R00095
161,R00097
162,R00099
168,R00103
169,R00103
170,R00103
171,R00104
172,R00105
174,R00107
177,R00111
178,R00111
182,R00113
183,R00114
184,R00114
185,R00115
189,R00122
190,R00123
193,R00125
194,R00126
197,R00128
198,R00129
199,R00130
200,R00130
201,R00131
202,R00132
203,R00134
204,R00135
205,R00135
206,R00137
207,R00137
208,R00137
209,R00138
213,R00143
214,R00143
215,R00143
216,R00145
217,R00145
218,R00145
219,R00145
220,R00145
221,R00145
222,R00145
223,R00145
224,R00145
225,R00145
226,R00145
227,R00145
228,R00145
229,R00146
230,R00146
231,R00146
232,R00146
233,R00146
234,R00146
235,R00146
236,R00146
237,R00146
238,R00146
239,R00146
240,R00146
241,R00146
242,R00148
243,R00148
244,R00149
246,R00153
247,R00155
248,R00155
256,R00159
257,R00159
258,R00160
259,R00160
260,R00160
261,R00160
262,R00161
263,R00161
277,R00162
278,R00162
279,R00164
280,R00173
281,R00174
283,R00177
284,R00178
285,R00179
286,R00180
287,R00181
288,R00181
290,R00183
291,R00183
292,R00183
293,R00183
294,R00184
295,R00184
296,R00185
297,R00185
298,R00185
299,R00187
300,R00188
303,R00190
304,R00190
305,R00191
306,R00191
307,R00191
309,R00193
312,R00195
316,R00199
317,R00200
318,R00203
319,R00203
320,R00203
321,R00205
322,R00206
323,R00207
324,R00208
326,R00209
327,R00209
328,R00210
329,R00211
330,R00212
331,R00213
332,R00214
333,R00214
334,R00215
335,R00215
336,R00215
337,R00216
338,R00217
339,R00217
340,R00217
341,R00218
342,R00220
343,R00220
344,R00221
345,R00223
346,R00224
348,R00227
349,R00228
350,R00228
351,R00228
353,R00230
354,R00233
355,R00234
358,R00237
359,R00237
360,R00238
361,R00239
364,R00243
365,R00243
366,R00243
367,R00245
368,R00245
369,R00248
370,R00248
371,R00248
372,R00248
374,R00251
376,R00254
377,R00256
378,R00256
380,R00256
381,R00256
382,R00256
384,R00256
393,R00259
394,R00259
397,R00261
398,R00262
399,R00264
400,R00264
401,R00265
402,R00267
403,R00268
404,R00269
405,R00269
407,R00272
408,R00273
409,R00274
410,R00275
411,R00276
416,R00280
417,R00281
418,R00281
419,R00282
420,R00283
421,R00284
422,R00286
423,R00287
424,R00287
425,R00287
426,R00287
427,R00289
428,R00289
429,R00291
430,R00292
431,R00292
432,R00293
433,R00294
434,R00295
435,R00295
436,R00296
437,R00297
438,R00298
439,R00299
440,R00299
441,R00300
442,R00300
443,R00301
444,R00302
445,R00303
446,R00303
447,R00304
448,R00305
451,R00307
453,R00310
454,R00311
458,R00317
459,R00318
462,R00321
463,R00322
465,R00325
466,R00326
468,R00328
469,R00328
470,R00328
471,R00329
478,R00335
485,R00336
488,R00339
489,R00340
490,R00341
491,R00342
492,R00342
493,R00343
494,R00343
495,R00344
496,R00345
497,R00346
498,R00347
499,R00348
500,R00350
506,R00354
512,R00360
513,R00361
515,R00362
516,R00362
519,R00365
520,R00365
523,R00367
524,R00367
525,R00367
533,R00371
542,R00375
544,R00376
546,R00377
548,R00378
550,R00379
551,R00379
552,R00379
553,R00380
561,R00383
562,R00383
563,R00383
564,R00384
565,R00385
566,R00387
570,R00391
575,R00395
576,R00396
577,R00397
581,R00402
584,R00407
585,R00409
587,R00411
588,R00414
590,R00414
591,R00416
592,R00416
593,R00416
594,R00417
595,R00418
596,R00418
597,R00420
598,R00421
599,R00424
600,R00425
601,R00425
602,R00426
603,R00426
604,R00426
605,R00428
607,R00430
608,R00431
611,R00434
612,R00434
613,R00435
614,R00435
615,R00435
617,R00437
618,R00438
619,R00439
620,R00440
621,R00441
622,R00441
623,R00442
624,R00442
625,R00443
626,R00443
627,R00443
628,R00444
629,R00444
630,R00445
631,R00446
633,R00448
636,R00451
640,R00458
643,R00461
644,R00462
645,R00463
646,R00465
647,R00465
648,R00466
649,R00468
650,R00469
651,R00470
652,R00470
653,R00470
654,R00471
656,R00473
657,R00473
658,R00473
660,R00475
661,R00476
662,R00477
663,R00478
664,R00479
665,R00480
667,R00480
669,R00481
673,R00484
674,R00485
675,R00485
678,R00486
679,R00487
680,R00488
681,R00489
682,R00489
683,R00489
684,R00489
685,R00490
691,R00499
692,R00502
693,R00502
694,R00503
695,R00503
696,R00503
697,R00504
698,R00505
699,R00507
700,R00507
701,R00507
702,R00508
703,R00508
704,R00508
705,R00509
706,R00509
708,R00511
709,R00511
710,R00511
711,R00511
712,R00511
716,R00513
717,R00514
718,R00515
719,R00515
720,R00516
721,R00517
723,R00519
724,R00521
725,R00522
726,R00524
727,R00525
728,R00526
729,R00526
730,R00527
731,R00528
732,R00529
733,R00529
734,R00530
735,R00531
736,R00532
739,R00535
740,R00536
741,R00537
742,R00538
743,R00538
744,R00539
749,R00542
751,R00544
752,R00544
753,R00545
754,R00546
755,R00547
756,R00548
757,R00548
758,R00548
759,R00549
760,R00549
761,R00550
762,R00551
763,R00552
765,R00555
766,R00557
767,R00557
768,R00558
769,R00558
774,R00566
776,R00568
777,R00569
780,R00571
781,R00572
782,R00573
783,R00574
785,R00575
788,R00577
791,R00581
792,R00582
793,R00582
794,R00584
798,R00586
804,R00590
805,R00590
806,R00594
807,R00595
808,R00595
809,R00595
810,R00597
811,R00599
812,R00600
813,R00601
814,R00602
815,R00602
816,R00602
817,R00602
819,R00604
820,R00605
822,R00608
823,R00609
824,R00610
825,R00610
826,R00611
827,R00612
829,R00615
833,R00618
836,R00623
837,R00623
838,R00623
839,R00623
840,R00624
841,R00625
842,R00625
843,R00626
844,R00626
845,R00627
847,R00629
849,R00631
850,R00631
851,R00631
852,R00631
853,R00631
854,R00634
855,R00634
856,R00635
857,R00636
858,R00637
859,R00638
860,R00638
861,R00639
864,R00644
865,R00647
867,R00649
868,R00650
869,R00651
871,R00653
872,R00654
874,R00656
875,R00657
876,R00658
877,R00659
878,R00660
879,R00661
880,R00662
881,R00662
882,R00662
883,R00664
884,R00665
889,R00669
890,R00669
891,R00670
892,R00671
896,R00673
897,R00674
898,R00674
899,R00675
900,R00676
902,R00678
903,R00678
905,R00681
906,R00682
908,R00685
910,R00688
913,R00691
914,R00691
915,R00691
918,R00693
929,R00697
930,R00697
931,R00698
932,R00699
933,R00699
934,R00700
935,R00700
936,R00702
937,R00702
938,R00702
939,R00703
940,R00704
941,R00705
942,R00705
943,R00706
944,R00706
945,R00707
946,R00707
947,R00708
948,R00708
949,R00709
950,R00709
951,R00710
952,R00710
953,R00710
954,R00710
955,R00710
956,R00711
957,R00711
958,R00713
959,R00713
960,R00713
961,R00713
962,R00714
963,R00714
964,R00714
965,R00714
969,R00717
970,R00717
971,R00719
972,R00720
973,R00720
974,R00720
977,R00723
978,R00724
979,R00725
980,R00726
983,R00728
985,R00730
986,R00731
987,R00732
988,R00732
989,R00732
990,R00733
991,R00733
1002,R00736
1003,R00736
1004,R00736
1005,R00737
1006,R00737
1007,R00739
1008,R00740
1009,R00740
1010,R00740
1011,R00742
1012,R00742
1013,R00742
1015,R00746
1016,R00746
1017,R00747
1018,R00748
1019,R00749
1020,R00750
1021,R00750
1022,R00751
1023,R00753
1024,R00754
1025,R00754
1026,R00754
1027,R00754
1028,R00755
1029,R00756
1030,R00758
1031,R00760
1032,R00760
1033,R00761
1034,R00761
1035,R00762
1036,R00762
1037,R00762
1038,R00763
1039,R00764
1041,R00766
1042,R00767
1044,R00769
1045,R00770
1046,R00771
1047,R00772
1048,R00774
1049,R00774
1050,R00775
1052,R00777
1053,R00778
1054,R00781
1055,R00782
1056,R00782
1057,R00782
1058,R00783
1059,R00783
1060,R00784
1061,R00785
1062,R00785
1063,R00787
1064,R00787
1065,R00789
1066,R00790
1067,R00791
1069,R00794
1070,R00794
1071,R00794
1072,R00796
1073,R00796
1074,R00796
1075,R00798
1076,R00799
1086,R00803
1087,R00804
1088,R00805
1089,R00806
1090,R00807
1091,R00808
1092,R00809
1093,R00810
1094,R00811
1095,R00812
1096,R00813
1097,R00814
1098,R00815
1099,R00816
1100,R00817
1101,R00818
1102,R00821
1103,R00822
1104,R00823
1105,R00825
1106,R00827
1107,R00828
1108,R00829
1109,R00829
1110,R00829
1111,R00830
1112,R00832
1113,R00833
1114,R00834
1115,R00835
1116,R00835
1117,R00836
1122,R00841
1123,R00842
1124,R00842
1125,R00844
1126,R00845
1127,R00846
1128,R00847
1129,R00848
1130,R00849
1131,R00850
1132,R00851
1133,R00851
1134,R00853
1135,R00854
1136,R00855
1137,R00855
1138,R00855
1139,R00856
1140,R00857
1141,R00858
1142,R00859
1143,R00860
1144,R00861
1145,R00861
1146,R00863
1148,R00866
1149,R00867
1150,R00867
1151,R00868
1152,R00868
1153,R00870
1154,R00871
1155,R00873
1156,R00874
1157,R00875
1158,R00875
1159,R00876
1160,R00877
1161,R00878
1163,R00880
1164,R00881
1165,R00883
1166,R00885
1167,R00885
1168,R00885
1169,R00888
1170,R00889
1171,R00891
1172,R00891
1173,R00891
1174,R00892
1175,R00893
1180,R00897
1181,R00897
1182,R00897
1183,R00897
1184,R00897
1185,R00899
1186,R00899
1187,R00899
1188,R00899
1189,R00900
1190,R00900
1191,R00901
1193,R00904
1194,R00904
1195,R00904
1196,R00904
1197,R00904
1198,R00904
1199,R00905
1205,R00909
1207,R00911
1209,R00913
1210,R00918
1211,R00919
1212,R00919
1215,R00921
1216,R00921
1217,R00922
1218,R00923
1219,R00923
1225,R00927
1226,R00927
1231,R00934
1232,R00934
1233,R00935
1234,R00935
1236,R00936
1238,R00937
1240,R00939
1242,R00940
1247,R00943
1248,R00943
1249,R00944
1251,R00946
1252,R00947
1253,R00948
1254,R00949
1255,R00951
1256,R00952
1257,R00953
1258,R00954
1259,R00955
1260,R00956
1261,R00957
1262,R00959
1263,R00959
1264,R00959
1265,R00959
1266,R00960
1267,R00961
1268,R00961
1269,R00961
1270,R00961
1271,R00962
1272,R00963
1273,R00963
1274,R00963
1275,R00963
1276,R00964
1277,R00965
1278,R00965
1279,R00966
1280,R00967
1281,R00968
1282,R00969
1283,R00970
1284,R00973
1285,R00974
1287,R00976
1288,R00977
1289,R00978
1290,R00980
1292,R00983
1293,R00984
1294,R00985
1295,R00985
1296,R00985
1297,R00985
1298,R00986
1299,R00986
1300,R00986
1301,R00986
1303,R00988
1304,R00989
1305,R00990
1306,R00994
1307,R00995
1308,R00996
1309,R00996
1312,R00999
1313,R01000
1314,R01001
1315,R01001
1316,R01003
1317,R01004
1318,R01005
1319,R01006
1320,R01007
1321,R01008
1322,R01009
1323,R01010
1324,R01010
1325,R01011
1326,R01012
1327,R01013
1328,R01014
1329,R01015
1330,R01016
1331,R01018
1333,R01021
1334,R01021
1335,R01022
1336,R01023
1337,R01025
1340,R01027
1343,R01030
1344,R01030
1346,R01033
1347,R01034
1348,R01036
1349,R01036
1350,R01039
1351,R01041
1352,R01041
1353,R01041
1354,R01041
1355,R01043
1356,R01044
1357,R01045
1358,R01047
1359,R01048
1361,R01050
1362,R01051
1363,R01052
1364,R01053
1365,R01054
1366,R01054
1367,R01054
1368,R01054
1369,R01054
1370,R01054
1371,R01055
1372,R01055
1373,R01056
1374,R01057
1375,R01057
1376,R01057
1377,R01058
1378,R01058
1379,R01059
1380,R01061
1381,R01061
1382,R01063
1383,R01063
1384,R01064
1385,R01064
1386,R01066
1390,R01068
1391,R01068
1392,R01069
1395,R01070
1396,R01070
1397,R01071
1398,R01072
1399,R01073
1400,R01073
1401,R01074
1403,R01074
1404,R01074
1405,R01074
1406,R01074
1408,R01076
1409,R01077
1410,R01078
1411,R01079
1413,R01081
1414,R01082
1418,R01086
1421,R01088
1422,R01089
1426,R01091
1427,R01092
1428,R01093
1429,R01094
1430,R01095
1431,R01096
1432,R01096
1433,R01096
1434,R01096
1435,R01097
1436,R01097
1437,R01098
1438,R01099
1445,R01106
1446,R01108
1451,R01115
1452,R01117
1453,R01121
1454,R01122
1455,R01123
1456,R01126
1457,R01126
1458,R01126
1459,R01126
1461,R01127
1463,R01130
1464,R01131
1465,R01132
1466,R01132
1467,R01134
1468,R01135
1471,R01138
1472,R01139
1473,R01140
1474,R01142
1475,R01143
1484,R01152
1485,R01153
1486,R01154
1489,R01156
1490,R01157
1491,R01158
1492,R01158
1493,R01158
1494,R01160
1496,R01163
1497,R01163
1498,R01163
1500,R01166
1501,R01166
1502,R01167
1503,R01167
1504,R01168
1505,R01169
1506,R01171
1507,R01171
1508,R01172
1509,R01172
1510,R01172
1511,R01172
1512,R01173
1513,R01174
1517,R01175
1519,R01177
1520,R01177
1525,R01181
1526,R01183
1527,R01183
1528,R01184
1529,R01185
1530,R01185
1531,R01185
1532,R01185
1533,R01186
1534,R01186
1535,R01186
1536,R01186
1537,R01187
1538,R01187
1539,R01187
1540,R01187
1541,R01188
1542,R01189
1543,R01190
1544,R01192
1545,R01193
1547,R01195
1548,R01196
1549,R01197
1550,R01199
1551,R01200
1552,R01201
1553,R01202
1554,R01203
1555,R01204
1556,R01205
1559,R01207
1560,R01209
1561,R01210
1562,R01211
1563,R01212
1564,R01212
1571,R01216
1572,R01217
1574,R01218
1576,R01220
1577,R01220
1579,R01221
1584,R01227
1585,R01227
1586,R01227
1587,R01227
1588,R01228
1589,R01229
1590,R01229
1591,R01229
1592,R01229
1595,R01232
1596,R01233
1597,R01234
1598,R01234
1599,R01235
1600,R01236
1602,R01238
1603,R01239
1604,R01240
1606,R01242
1608,R01244
1619,R01252
1620,R01253
1621,R01253
1624,R01257
1625,R01258
1632,R01263
1633,R01264
1637,R01267
1638,R01268
1639,R01269
1641,R01271
1644,R01274
1645,R01274
1646,R01277
1647,R01278
1648,R01278
1654,R01281
1655,R01283
1656,R01283
1657,R01286
1658,R01287
1659,R01288
1660,R01289
1661,R01290
1662,R01290
1663,R01290
1664,R01291
1666,R01293
1667,R01293
1668,R01294
1669,R01295
1670,R01296
1671,R01297
1672,R01298
1673,R01298
1674,R01299
1677,R01301
1678,R01302
1679,R01302
1680,R01304
1681,R01305
1682,R01306
1683,R01307
1688,R01310
1689,R01312
1692,R01315
1700,R01317
1706,R01318
1707,R01318
1708,R01318
1709,R01319
1710,R01320
1711,R01320
1712,R01320
1713,R01321
1714,R01321
1717,R01324
1718,R01324
1719,R01325
1720,R01325
1721,R01326
1722,R01326
1723,R01327
1724,R01328
1726,R01330
1731,R01333
1732,R01333
1733,R01334
1734,R01334
1736,R01337
1737,R01338
1739,R01341
1744,R01347
1747,R01348
1748,R01349
1756,R01355
1758,R01358
1761,R01360
1762,R01361
1766,R01366
1767,R01367
1768,R01368
1772,R01370
1773,R01370
1774,R01371
1775,R01371
1776,R01372
1777,R01373
1778,R01373
1779,R01373
1783,R01377
1785,R01381
1786,R01381
1787,R01383
1788,R01384
1789,R01385
1790,R01387
1791,R01388
1792,R01388
1793,R01388
1794,R01388
1795,R01392
1796,R01392
1797,R01393
1798,R01394
1801,R01395
1805,R01397
1812,R01402
1813,R01403
1814,R01404
1815,R01404
1816,R01404
1817,R01404
1818,R01404
1819,R01404
1820,R01406
1823,R01408
1824,R01409
1825,R01409
1826,R01409
1827,R01411
1828,R01412
1829,R01413
1830,R01414
1831,R01415
1832,R01416
1834,R01418
1835,R01419
1836,R01420
1837,R01421
1840,R01423
1841,R01424
1842,R01425
1843,R01429
1844,R01429
1845,R01430
1846,R01430
1847,R01431
1848,R01431
1849,R01432
1851,R01434
1852,R01434
1853,R01437
1855,R01441
1856,R01442
1857,R01443
1859,R01445
1860,R01446
1861,R01446
1862,R01447
1866,R01451
1867,R01454
1868,R01456
1869,R01457
1870,R01459
1872,R01461
1873,R01462
1877,R01463
1878,R01465
1879,R01466
1881,R01468
1882,R01468
1884,R01470
1885,R01470
1886,R01471
1887,R01471
1888,R01472
1889,R01473
1890,R01476
1893,R01481
1894,R01481
1895,R01482
1899,R01486
1900,R01487
1901,R01488
1902,R01489
1903,R01490
1904,R01491
1905,R01492
1906,R01493
1907,R01494
1908,R01495
